date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,55.0,48.0,52.51,49.67,52.0,43.0,49.67,20.0,6.0,30.08,52,50,94,247.5,7,0,29.87,6
2005-05-05,55.0,39.0,48.68,41.5,50.0,36.0,41.5,20.0,6.0,30.13,52,39,62,270.0,13,0,30.13,5
2005-05-06,54.0,48.0,51.25,43.5,48.0,39.0,43.5,22.0,6.0,29.99,50,45,82,247.5,18,0,29.93,5
2005-05-07,54.0,45.0,48.59,42.92,46.0,37.0,42.92,26.0,6.0,29.9,48,43,82,270.0,7,0,29.69,2
2005-05-08,54.0,41.0,47.84,38.86,43.0,34.0,38.86,23.0,6.0,29.84,46,41,81,225.0,16,0,29.84,5
2005-05-09,52.0,41.0,46.58,39.23,45.0,36.0,39.23,22.0,6.0,29.99,50,41,71,247.5,20,0,29.87,5
2005-05-10,54.0,41.0,47.71,39.59,45.0,37.0,39.59,18.0,6.0,30.16,50,45,82,247.5,10,0,30.05,5
2005-05-11,55.0,41.0,47.9,38.8,43.0,36.0,38.8,15.0,6.0,30.31,48,43,82,225.0,10,0,30.25,2
2005-05-12,57.0,39.0,49.68,40.76,45.0,37.0,40.76,16.0,6.0,30.31,52,41,67,90.0,10,0,30.28,2
2005-05-13,63.0,45.0,52.68,43.34,48.0,39.0,43.34,21.0,6.0,30.22,52,43,71,112.5,18,0,30.16,0
2005-05-14,61.0,46.0,52.59,43.92,48.0,39.0,43.92,21.0,6.0,30.08,55,45,67,157.5,18,0,29.96,0
2005-05-15,59.0,43.0,51.42,46.03,50.0,41.0,46.03,17.0,6.0,30.02,52,48,88,202.5,16,0,29.99,2
2005-05-16,57.0,43.0,49.85,43.66,48.0,37.0,43.66,17.0,6.0,30.02,54,45,72,292.5,9,0,29.93,0
2005-05-17,54.0,37.0,46.08,36.11,37.0,34.0,36.11,15.0,6.0,30.13,48,36,62,180.0,5,0,30.08,5
2005-05-18,57.0,39.0,49.08,30.15,39.0,0.0,30.15,13.0,6.0,30.22,52,37,58,270.0,7,0,30.19,0
2005-05-19,68.0,46.0,56.83,43.34,55.0,37.0,43.34,20.0,6.0,30.22,57,41,55,382.5,15,0,30.16,0
2005-05-20,68.0,55.0,60.95,55.12,59.0,48.0,55.12,20.0,6.0,30.05,59,57,94,382.5,14,0,29.99,2
2005-05-21,64.0,54.0,58.75,51.5,54.0,50.0,51.5,16.0,6.0,29.9,59,50,72,315.0,15,0,29.9,2
2005-05-22,66.0,52.0,58.58,48.97,52.0,45.0,48.97,23.0,6.0,29.87,61,48,63,337.5,20,0,29.81,0
2005-05-23,63.0,52.0,56.27,44.7,50.0,37.0,44.7,21.0,6.0,30.13,55,48,77,292.5,16,0,29.99,5
2005-05-24,64.0,48.0,56.35,46.8,54.0,41.0,46.8,23.0,6.0,30.13,54,48,82,360.0,9,0,30.13,2
2005-05-25,72.0,54.0,63.34,53.98,57.0,50.0,53.98,20.0,6.0,30.25,59,52,77,292.5,15,0,30.22,5
2005-05-26,84.0,59.0,69.44,53.98,57.0,48.0,53.98,21.0,6.0,30.16,73,57,57,360.0,15,0,30.05,0
2005-05-27,88.0,55.0,72.47,56.26,59.0,54.0,56.26,13.0,6.0,30.05,68,57,68,382.5,6,0,30.02,0
2005-05-28,75.0,57.0,68.43,53.07,61.0,45.0,53.07,28.0,6.0,30.08,72,54,53,270.0,16,0,29.93,0
2005-05-29,66.0,52.0,58.05,47.28,50.0,43.0,47.28,13.0,6.0,30.16,61,48,63,270.0,6,0,30.13,5
2005-05-30,55.0,48.0,52.43,48.26,52.0,45.0,48.26,13.0,6.0,30.25,54,48,82,202.5,5,0,30.11,2
2005-05-31,61.0,46.0,53.54,46.72,52.0,43.0,46.72,17.0,6.0,30.31,57,52,82,270.0,15,0,30.25,2
2005-06-01,66.0,43.0,56.43,44.87,54.0,41.0,44.87,12.0,6.0,30.31,54,43,67,22.5,2,0,30.28,2
2005-06-02,64.0,55.0,59.48,55.58,57.0,52.0,55.58,18.0,6.0,30.05,59,55,88,292.5,15,0,29.99,6
2005-06-03,73.0,55.0,61.4,56.4,61.0,52.0,56.4,21.0,6.0,29.93,66,59,78,360.0,6,0,29.84,0
2005-06-04,63.0,54.0,57.98,53.0,55.0,50.0,53.0,26.0,6.0,29.93,59,54,82,292.5,23,0,29.81,5
2005-06-05,59.0,55.0,56.88,53.85,55.0,52.0,53.85,18.0,6.0,30.05,57,54,88,270.0,17,0,29.99,2
2005-06-06,57.0,50.0,53.8,44.9,52.0,39.0,44.9,16.0,6.0,30.34,54,45,72,180.0,12,0,30.13,2
2005-06-07,55.0,48.0,51.85,39.38,43.0,37.0,39.38,17.0,6.0,30.61,52,39,62,180.0,15,0,30.49,2
2005-06-08,61.0,45.0,53.96,43.38,46.0,41.0,43.38,13.0,6.0,30.64,54,43,67,157.5,6,0,30.64,5
2005-06-09,64.0,46.0,56.78,44.18,48.0,39.0,44.18,15.0,6.0,30.58,57,41,55,22.5,2,0,30.52,0
2005-06-10,64.0,48.0,56.0,48.31,55.0,41.0,48.31,16.0,6.0,30.34,61,52,72,247.5,7,0,30.22,2
2005-06-11,57.0,50.0,53.17,42.77,46.0,39.0,42.77,20.0,6.0,30.13,55,41,58,202.5,13,0,30.05,5
2005-06-12,59.0,46.0,53.86,47.16,54.0,41.0,47.16,15.0,6.0,29.93,55,45,67,270.0,12,0,29.87,2
2005-06-13,59.0,48.0,54.81,45.9,50.0,43.0,45.9,20.0,6.0,29.75,54,46,77,247.5,16,0,29.69,5
2005-06-14,66.0,50.0,59.79,47.98,54.0,43.0,47.98,18.0,6.0,29.99,59,52,77,337.5,10,0,29.81,0
2005-06-15,75.0,50.0,61.6,50.65,59.0,46.0,50.65,24.0,6.0,30.05,63,48,59,360.0,12,0,30.05,0
2005-06-16,72.0,57.0,62.48,54.56,61.0,48.0,54.56,21.0,6.0,30.19,59,55,88,337.5,14,0,30.16,6
2005-06-17,70.0,63.0,65.49,60.57,63.0,59.0,60.57,20.0,6.0,30.37,66,61,83,270.0,18,0,30.25,2
2005-06-18,77.0,59.0,67.83,56.04,61.0,54.0,56.04,12.0,6.0,30.4,64,55,73,22.5,3,0,30.4,2
2005-06-19,86.0,61.0,73.96,52.33,57.0,48.0,52.33,12.0,6.0,30.25,72,54,53,405.0,9,0,30.16,0
2005-06-20,91.0,66.0,78.02,57.18,61.0,54.0,57.18,16.0,6.0,30.05,77,61,57,382.5,6,0,29.99,0
2005-06-21,75.0,61.0,67.84,55.65,63.0,50.0,55.65,13.0,6.0,30.16,66,61,83,225.0,8,0,30.05,2
2005-06-22,77.0,57.0,68.0,54.56,59.0,52.0,54.56,9.0,6.0,30.22,68,55,64,270.0,5,0,30.22,0
2005-06-23,86.0,64.0,74.91,57.23,63.0,55.0,57.23,12.0,6.0,30.19,75,57,53,382.5,12,0,30.13,0
2005-06-24,90.0,68.0,78.93,61.13,66.0,55.0,61.13,14.0,6.0,30.02,81,64,58,22.5,2,0,29.96,0
2005-06-25,73.0,59.0,66.24,60.17,66.0,52.0,60.17,18.0,6.0,30.22,66,64,94,157.5,9,0,29.99,6
2005-06-26,72.0,54.0,63.24,51.96,54.0,45.0,51.96,13.0,6.0,30.31,63,52,68,135.0,9,0,30.28,5
2005-06-27,73.0,55.0,64.19,52.23,55.0,48.0,52.23,12.0,6.0,30.28,63,54,72,112.5,6,0,30.22,0
2005-06-28,75.0,54.0,65.48,53.77,57.0,46.0,53.77,16.0,6.0,30.16,64,57,77,112.5,7,0,30.13,2
2005-06-29,73.0,61.0,66.51,55.47,59.0,52.0,55.47,18.0,6.0,29.93,63,55,77,90.0,8,0,29.84,0
2005-06-30,72.0,59.0,65.18,60.2,63.0,55.0,60.2,18.0,6.0,29.78,66,63,88,337.5,12,0,29.75,0
2005-07-01,68.0,57.0,62.08,57.33,59.0,55.0,57.33,18.0,6.0,30.05,61,59,94,270.0,14,0,29.84,6
2005-07-02,72.0,59.0,64.58,60.79,64.0,57.0,60.79,13.0,6.0,30.11,66,61,83,360.0,7,0,30.08,2
