date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,72.0,63.0,66.2,58.49,61.0,54.0,58.49,13.0,6.0,30.1,68,55,64,22.5,3,0,30.07,2
2005-05-05,68.0,61.0,64.51,52.7,59.0,46.0,52.7,12.0,6.0,30.07,64,52,64,180.0,3,0,30.01,0
2005-05-06,72.0,57.0,64.3,51.0,59.0,43.0,51.0,14.0,6.0,30.1,66,43,43,202.5,12,0,30.1,0
2005-05-07,68.0,55.0,62.85,52.56,59.0,48.0,52.56,13.0,6.0,30.1,64,52,64,22.5,5,0,30.07,0
2005-05-08,68.0,55.0,63.17,51.96,59.0,45.0,51.96,13.0,6.0,29.98,68,55,64,112.5,9,0,29.92,0
2005-05-09,72.0,59.0,65.02,52.75,61.0,48.0,52.75,10.0,6.0,29.92,66,50,56,180.0,5,0,29.86,2
2005-05-10,72.0,64.0,66.18,59.27,63.0,55.0,59.27,13.0,6.0,29.89,68,59,73,22.5,2,0,29.83,2
2005-05-11,70.0,61.0,65.21,55.79,61.0,52.0,55.79,14.0,6.0,29.95,66,59,78,90.0,8,0,29.92,0
2005-05-12,70.0,59.0,65.19,54.57,61.0,48.0,54.57,13.0,6.0,29.92,68,48,49,112.5,13,0,29.86,5
2005-05-13,70.0,61.0,66.04,60.06,63.0,55.0,60.06,12.0,6.0,29.92,66,57,73,202.5,3,0,29.92,0
2005-05-14,72.0,59.0,67.17,56.65,61.0,52.0,56.65,14.0,6.0,30.1,68,55,64,180.0,12,0,29.98,0
2005-05-15,72.0,59.0,65.85,59.06,63.0,54.0,59.06,15.0,6.0,30.1,68,57,68,180.0,2,0,30.07,0
2005-05-16,70.0,61.0,66.02,54.98,63.0,45.0,54.98,17.0,6.0,29.95,64,55,73,135.0,9,0,29.89,2
2005-05-17,64.0,57.0,58.96,53.47,57.0,52.0,53.47,21.0,6.0,29.89,59,52,77,202.5,9,0,29.72,2
2005-05-18,70.0,55.0,62.69,50.6,57.0,45.0,50.6,16.0,6.0,30.16,63,48,59,202.5,13,0,30.04,0
2005-05-19,70.0,57.0,64.24,54.27,61.0,50.0,54.27,15.0,6.0,30.19,66,50,56,202.5,2,0,30.19,0
