date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,63.0,52.0,58.8,52.46,59.0,48.0,52.46,17.0,6.0,29.69,59,52,77,247.5,12,0,29.64,2
2005-05-05,59.0,45.0,53.04,41.0,50.0,0.0,41.0,16.0,6.0,29.75,48,39,71,247.5,13,0,29.72,2
2005-05-06,57.0,45.0,49.18,42.91,50.0,36.0,42.91,24.0,6.0,29.72,48,46,93,292.5,12,0,29.61,2
2005-05-07,52.0,41.0,46.54,39.46,43.0,34.0,39.46,14.0,6.0,29.67,46,37,71,270.0,12,0,29.61,2
2005-05-08,54.0,41.0,46.81,38.96,45.0,34.0,38.96,17.0,6.0,29.61,45,39,81,247.5,10,22,29.55,2
2005-05-09,54.0,39.0,45.43,37.98,41.0,34.0,37.98,16.0,6.0,29.72,46,39,76,292.5,9,0,29.64,2
2005-05-10,52.0,39.0,45.32,38.94,45.0,36.0,38.94,17.0,6.0,29.81,46,39,76,270.0,10,0,29.78,2
2005-05-11,50.0,41.0,44.51,40.32,43.0,37.0,40.32,14.0,6.0,30.02,45,41,87,270.0,12,0,29.93,2
2005-05-12,55.0,39.0,46.43,41.55,45.0,39.0,41.55,10.0,6.0,30.11,41,41,100,270.0,9,0,30.08,6
2005-05-13,63.0,37.0,52.72,38.51,46.0,34.0,38.51,10.0,6.0,30.11,54,41,62,90.0,3,0,30.11,0
2005-05-14,64.0,46.0,54.79,42.09,50.0,37.0,42.09,16.0,6.0,29.96,57,39,51,90.0,9,0,29.81,0
2005-05-15,54.0,48.0,50.09,47.04,50.0,43.0,47.04,17.0,6.0,29.69,48,48,100,247.5,8,0,29.64,6
2005-05-16,64.0,45.0,53.57,42.28,46.0,36.0,42.28,18.0,6.0,29.78,52,43,71,270.0,10,0,29.75,2
2005-05-17,52.0,43.0,46.8,39.96,43.0,37.0,39.96,10.0,6.0,29.9,45,43,93,202.5,7,0,29.81,2
2005-05-18,57.0,43.0,49.83,31.07,43.0,0.0,31.07,12.0,6.0,30.08,52,39,62,180.0,7,0,29.96,5
2005-05-19,61.0,36.0,51.17,27.11,41.0,0.0,27.11,7.0,6.0,30.19,54,34,47,382.5,2,0,30.19,0
2005-05-20,68.0,45.0,58.52,38.59,41.0,36.0,38.59,12.0,6.0,30.14,59,41,51,382.5,9,0,30.08,0
2005-05-21,72.0,54.0,62.31,46.88,54.0,41.0,46.88,12.0,6.0,29.93,64,48,56,337.5,10,0,29.81,0
2005-05-22,70.0,57.0,63.59,56.7,61.0,52.0,56.7,10.0,6.0,29.78,63,59,88,315.0,9,0,29.78,2
