date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,59.0,50.0,53.59,49.74,54.0,46.0,49.74,16.0,6.0,29.89,54,50,88,292.5,8,0,29.78,2
2005-05-05,55.0,45.0,50.82,41.06,50.0,34.0,41.06,14.0,6.0,30.01,48,37,66,225.0,7,0,30.01,0
2005-05-06,55.0,48.0,52.68,43.53,50.0,39.0,43.53,17.0,6.0,29.89,54,46,77,247.5,17,0,29.83,2
2005-05-07,54.0,43.0,49.59,43.21,50.0,39.0,43.21,21.0,6.0,29.83,48,46,93,270.0,14,0,29.57,2
2005-05-08,55.0,41.0,47.15,38.69,41.0,36.0,38.69,20.0,6.0,29.75,48,41,76,270.0,14,0,29.75,5
2005-05-09,54.0,41.0,46.47,38.61,41.0,36.0,38.61,15.0,6.0,29.89,50,39,66,247.5,10,0,29.78,5
2005-05-10,57.0,37.0,46.46,38.82,45.0,34.0,38.82,16.0,6.0,30.04,48,36,62,225.0,8,0,29.92,0
2005-05-11,55.0,36.0,46.13,38.63,48.0,34.0,38.63,7.0,6.0,30.13,48,41,76,157.5,3,0,30.13,5
2005-05-12,59.0,37.0,49.1,37.73,41.0,36.0,37.73,15.0,6.0,30.13,50,39,66,90.0,12,0,30.07,0
2005-05-13,59.0,43.0,50.93,41.17,46.0,39.0,41.17,13.0,6.0,29.98,50,41,71,90.0,8,0,29.92,0
2005-05-14,64.0,46.0,55.08,45.13,48.0,41.0,45.13,13.0,6.0,29.86,54,46,77,135.0,9,0,29.75,0
2005-05-15,59.0,41.0,50.22,42.75,45.0,39.0,42.75,13.0,6.0,29.89,48,43,82,270.0,13,0,29.89,2
2005-05-16,63.0,41.0,52.63,41.47,46.0,34.0,41.47,12.0,6.0,29.83,52,46,82,67.5,0,0,29.81,5
2005-05-17,52.0,43.0,47.14,35.43,46.0,0.0,35.43,14.0,6.0,29.98,48,34,57,157.5,8,0,29.89,5
2005-05-18,57.0,36.0,47.24,33.79,37.0,0.0,33.79,7.0,6.0,30.1,48,36,62,135.0,7,0,30.07,5
2005-05-19,66.0,45.0,56.89,43.26,54.0,34.0,43.26,15.0,6.0,30.07,57,41,55,360.0,14,0,30.04,0
2005-05-20,72.0,55.0,62.53,52.89,57.0,46.0,52.89,17.0,6.0,29.95,61,54,77,360.0,10,0,29.86,0
2005-05-21,66.0,54.0,60.0,51.7,55.0,46.0,51.7,14.0,6.0,29.78,61,54,77,337.5,7,0,29.78,5
