date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,59.0,52.0,54.51,50.68,54.0,48.0,50.68,15.0,6.0,29.81,55,54,94,202.5,10,0,29.75,2
2005-05-05,59.0,43.0,50.68,41.38,46.0,0.0,41.38,18.0,6.0,29.78,48,43,82,180.0,9,0,29.75,5
2005-05-06,55.0,45.0,49.74,42.88,50.0,36.0,42.88,17.0,6.0,29.69,52,50,94,292.5,10,0,29.54,2
2005-05-07,54.0,41.0,46.07,38.87,43.0,36.0,38.87,18.0,6.0,29.6,48,39,71,270.0,14,0,29.57,0
2005-05-08,54.0,39.0,46.19,37.98,41.0,34.0,37.98,17.0,6.0,29.63,48,37,66,270.0,12,0,29.57,5
2005-05-09,52.0,39.0,45.54,40.22,43.0,37.0,40.22,17.0,6.0,29.72,50,41,71,337.5,14,0,29.63,5
2005-05-10,54.0,39.0,46.26,39.24,43.0,34.0,39.24,10.0,6.0,29.87,48,43,82,337.5,7,0,29.81,5
2005-05-11,55.0,41.0,48.33,41.5,45.0,39.0,41.5,21.0,6.0,30.07,52,43,71,180.0,7,0,29.96,2
2005-05-12,61.0,37.0,50.0,41.67,46.0,36.0,41.67,14.0,6.0,30.19,52,45,76,247.5,3,0,30.16,5
2005-05-13,61.0,39.0,52.77,39.55,43.0,37.0,39.55,13.0,6.0,30.22,57,39,51,157.5,5,0,30.22,0
2005-05-14,61.0,43.0,52.98,40.45,46.0,34.0,40.45,14.0,6.0,30.13,52,43,71,337.5,3,0,30.07,2
2005-05-15,63.0,43.0,53.28,33.45,45.0,0.0,33.45,14.0,6.0,29.96,54,43,67,180.0,8,0,29.93,0
