date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,57.0,43.0,49.85,39.67,43.0,37.0,39.67,18.0,6.0,30.08,50,41,71,180.0,15,0,30.02,0
2005-05-05,59.0,46.0,51.91,46.68,50.0,41.0,46.68,26.0,6.0,30.08,54,48,82,270.0,23,0,30.0,2
2005-05-06,57.0,45.0,50.26,44.59,50.0,41.0,44.59,25.0,6.0,29.91,50,43,76,270.0,15,0,29.88,5
2005-05-07,55.0,41.0,48.08,40.33,46.0,36.0,40.33,23.0,6.0,29.82,48,41,76,247.5,20,0,29.76,5
2005-05-08,55.0,39.0,46.06,35.25,43.0,0.0,35.25,21.0,6.0,29.85,50,39,66,247.5,17,0,29.76,2
2005-05-09,50.0,36.0,43.4,29.9,41.0,0.0,29.9,17.0,6.0,29.94,48,41,76,180.0,14,0,29.88,2
2005-05-10,54.0,32.0,43.77,33.5,43.0,0.0,33.5,14.0,6.0,30.08,50,43,76,112.5,7,0,30.0,0
2005-05-11,54.0,34.0,44.6,30.73,45.0,0.0,30.73,15.0,6.0,30.08,50,41,71,405.0,8,0,30.05,2
2005-05-12,54.0,36.0,47.73,38.92,45.0,30.0,38.92,16.0,6.0,30.0,52,43,71,427.5,14,0,29.94,2
2005-05-13,54.0,46.0,49.58,40.67,43.0,37.0,40.67,26.0,6.0,30.0,48,41,76,112.5,22,0,30.0,2
2005-05-14,55.0,45.0,49.69,40.38,43.0,39.0,40.38,23.0,6.0,29.97,50,41,71,135.0,17,0,29.94,5
2005-05-15,61.0,41.0,52.58,41.0,50.0,36.0,41.0,13.0,6.0,29.91,54,43,67,22.5,3,0,29.88,5
2005-05-16,52.0,41.0,47.63,42.07,48.0,34.0,42.07,22.0,6.0,29.97,52,46,82,202.5,13,0,29.82,2
2005-05-17,54.0,34.0,44.96,23.92,39.0,0.0,23.92,13.0,6.0,29.97,46,37,71,180.0,7,0,29.97,5
2005-05-18,52.0,45.0,48.63,41.65,46.0,36.0,41.65,23.0,6.0,29.85,50,43,76,382.5,15,0,29.73,2
2005-05-19,63.0,48.0,56.04,48.63,52.0,45.0,48.63,21.0,6.0,29.5,55,46,72,315.0,15,0,29.5,2
2005-05-20,61.0,48.0,54.0,46.25,52.0,39.0,46.25,30.0,6.0,29.47,55,50,82,315.0,16,0,29.29,2
2005-05-21,57.0,43.0,49.88,42.48,50.0,39.0,42.48,18.0,6.0,29.44,54,41,62,337.5,12,0,29.38,0
2005-05-22,55.0,41.0,48.19,42.23,50.0,37.0,42.23,18.0,6.0,29.41,55,45,67,315.0,6,0,29.32,2
2005-05-23,55.0,41.0,49.21,41.52,48.0,37.0,41.52,35.0,6.0,29.59,52,43,71,315.0,22,36,29.41,5
2005-05-24,61.0,46.0,53.94,50.0,55.0,41.0,50.0,17.0,6.0,29.64,55,50,82,292.5,13,0,29.44,2
2005-05-25,63.0,50.0,58.06,53.1,57.0,48.0,53.1,26.0,6.0,29.67,61,55,82,337.5,20,0,29.64,2
2005-05-26,64.0,50.0,57.27,48.04,54.0,45.0,48.04,23.0,6.0,29.76,57,48,72,292.5,20,0,29.64,0
2005-05-27,55.0,50.0,52.39,48.58,50.0,46.0,48.58,18.0,6.0,29.73,52,48,88,157.5,17,0,29.67,2
2005-05-28,59.0,48.0,54.58,46.31,54.0,41.0,46.31,36.0,6.0,29.76,55,46,72,315.0,26,38,29.29,2
2005-05-29,57.0,43.0,50.79,42.79,48.0,39.0,42.79,17.0,6.0,29.88,54,48,82,270.0,10,0,29.88,5
2005-05-30,55.0,43.0,50.73,46.77,50.0,41.0,46.77,12.0,6.0,30.02,54,48,82,135.0,5,0,29.97,2
2005-05-31,57.0,45.0,51.81,48.92,52.0,45.0,48.92,13.0,6.0,30.05,54,50,88,90.0,9,0,30.02,2
2005-06-01,66.0,52.0,59.38,54.4,59.0,48.0,54.4,24.0,6.0,29.91,61,57,88,337.5,10,0,29.7,2
2005-06-02,63.0,55.0,59.54,53.25,57.0,48.0,53.25,24.0,6.0,29.64,63,54,72,337.5,14,0,29.53,2
2005-06-03,63.0,52.0,56.27,49.13,52.0,45.0,49.13,22.0,6.0,29.44,57,50,77,315.0,15,0,29.41,2
2005-06-04,61.0,50.0,55.13,49.75,54.0,46.0,49.75,25.0,6.0,29.7,57,50,77,292.5,22,0,29.53,2
2005-06-05,61.0,50.0,54.33,49.46,52.0,46.0,49.46,15.0,6.0,29.79,57,50,77,382.5,6,0,29.73,2
2005-06-06,59.0,46.0,53.74,47.5,52.0,45.0,47.5,17.0,6.0,30.23,57,50,77,90.0,14,0,30.0,0
2005-06-07,64.0,46.0,56.06,49.48,55.0,43.0,49.48,14.0,6.0,30.32,61,54,77,382.5,6,0,30.29,2
2005-06-08,66.0,48.0,57.35,46.67,52.0,0.0,46.67,12.0,6.0,30.35,57,46,67,292.5,7,0,30.35,2
2005-06-09,68.0,55.0,60.27,53.35,57.0,50.0,53.35,12.0,6.0,30.32,59,52,77,270.0,7,0,30.29,6
2005-06-10,63.0,50.0,55.89,48.83,54.0,45.0,48.83,13.0,6.0,30.2,54,46,77,225.0,8,0,30.11,2
2005-06-11,63.0,39.0,52.31,44.63,48.0,39.0,44.63,10.0,6.0,30.0,55,45,67,22.5,3,0,29.88,0
2005-06-12,57.0,43.0,51.56,42.63,48.0,37.0,42.63,18.0,6.0,29.76,52,45,76,247.5,15,0,29.67,2
2005-06-13,61.0,41.0,50.87,43.47,46.0,37.0,43.47,25.0,6.0,29.64,54,45,72,247.5,18,0,29.56,2
2005-06-14,59.0,52.0,56.29,47.04,50.0,43.0,47.04,22.0,6.0,29.47,55,46,72,270.0,18,0,29.47,2
2005-06-15,68.0,54.0,59.67,52.02,57.0,46.0,52.02,16.0,6.0,29.61,63,52,68,337.5,15,0,29.35,0
2005-06-16,73.0,52.0,61.98,54.42,63.0,46.0,54.42,26.0,6.0,29.82,64,59,83,315.0,18,30,29.53,2
2005-06-17,72.0,63.0,66.85,62.06,64.0,57.0,62.06,23.0,6.0,30.05,66,63,88,292.5,13,0,29.97,2
2005-06-18,68.0,61.0,64.38,59.58,61.0,57.0,59.58,17.0,6.0,30.02,64,59,83,405.0,10,0,30.0,2
2005-06-19,70.0,57.0,65.06,57.19,63.0,52.0,57.19,16.0,6.0,29.79,64,59,83,270.0,14,0,29.76,2
