date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,64.0,52.0,56.0,52.85,57.0,48.0,52.85,16.0,6.0,29.55,55,55,100,360.0,8,0,29.52,2
2005-05-05,63.0,50.0,56.04,43.74,54.0,0.0,43.74,15.0,6.0,29.64,55,52,88,180.0,7,0,29.61,2
2005-05-06,59.0,46.0,51.54,43.72,52.0,36.0,43.72,22.0,6.0,29.64,50,50,100,337.5,9,0,29.55,2
2005-05-07,54.0,45.0,47.87,43.59,52.0,39.0,43.59,29.0,6.0,29.58,46,46,100,337.5,9,0,29.4,6
2005-05-08,55.0,41.0,46.85,39.57,43.0,36.0,39.57,25.0,6.0,29.52,48,39,71,292.5,12,0,29.52,5
2005-05-09,57.0,39.0,47.07,39.09,43.0,34.0,39.09,15.0,6.0,29.58,46,41,81,315.0,8,0,29.49,5
2005-05-10,57.0,34.0,46.81,30.81,41.0,0.0,30.81,12.0,6.0,29.69,48,36,62,22.5,2,0,29.64,5
2005-05-11,57.0,39.0,48.96,36.72,41.0,0.0,36.72,9.0,6.0,29.81,48,37,66,270.0,7,0,29.81,5
2005-05-12,63.0,39.0,51.53,38.34,43.0,34.0,38.34,13.0,6.0,29.81,50,41,71,135.0,12,0,29.81,0
2005-05-13,66.0,45.0,56.13,38.43,45.0,36.0,38.43,14.0,6.0,29.72,55,39,54,112.5,10,0,29.72,0
2005-05-14,61.0,52.0,55.62,52.47,61.0,45.0,52.47,16.0,6.0,29.55,54,54,100,112.5,9,0,29.46,2
2005-05-15,59.0,48.0,52.93,45.96,54.0,37.0,45.96,14.0,6.0,29.58,52,46,82,247.5,8,0,29.58,5
2005-05-16,64.0,37.0,53.6,43.26,48.0,37.0,43.26,8.0,6.0,29.58,54,46,77,22.5,1,0,29.55,2
2005-05-17,57.0,46.0,52.2,47.46,54.0,41.0,47.46,13.0,6.0,29.64,54,50,88,157.5,8,0,29.52,5
2005-05-18,57.0,41.0,50.02,37.76,43.0,34.0,37.76,15.0,6.0,29.84,50,39,66,135.0,14,0,29.69,0
2005-05-19,66.0,37.0,53.06,40.3,45.0,36.0,40.3,8.0,6.0,29.9,55,43,63,112.5,6,0,29.9,0
2005-05-20,75.0,48.0,61.22,46.84,50.0,43.0,46.84,10.0,6.0,29.78,61,46,59,67.5,0,0,29.75,0
2005-05-21,68.0,57.0,60.69,57.75,61.0,50.0,57.75,14.0,6.0,29.61,61,61,100,360.0,9,0,29.61,2
2005-05-22,68.0,57.0,61.09,57.23,61.0,54.0,57.23,12.0,6.0,29.55,63,59,88,337.5,8,0,29.55,2
2005-05-23,68.0,54.0,58.76,53.64,59.0,48.0,53.64,17.0,6.0,29.78,57,55,94,315.0,9,0,29.64,2
2005-05-24,70.0,46.0,59.31,47.82,52.0,45.0,47.82,10.0,6.0,29.87,59,52,77,337.5,9,0,29.87,0
2005-05-25,77.0,54.0,66.49,52.35,55.0,50.0,52.35,7.0,6.0,29.9,64,52,64,315.0,5,0,29.9,0
2005-05-26,84.0,55.0,71.55,55.0,57.0,50.0,55.0,8.0,6.0,29.84,73,57,57,90.0,3,0,29.78,0
2005-05-27,88.0,57.0,74.28,58.22,61.0,54.0,58.22,7.0,6.0,29.66,75,61,61,180.0,5,0,29.66,0
2005-05-28,90.0,61.0,78.18,61.74,64.0,59.0,61.74,10.0,6.0,29.64,77,63,61,360.0,6,0,29.61,0
2005-05-29,84.0,68.0,75.47,62.28,64.0,57.0,62.28,14.0,6.0,29.69,72,59,64,135.0,10,0,29.66,0
2005-05-30,72.0,55.0,64.03,57.91,64.0,50.0,57.91,22.0,6.0,29.81,68,63,83,315.0,9,0,29.58,2
2005-05-31,66.0,50.0,57.06,45.2,50.0,43.0,45.2,12.0,6.0,29.93,57,45,63,337.5,3,0,29.93,5
2005-06-01,68.0,50.0,60.03,43.12,48.0,39.0,43.12,10.0,6.0,29.87,61,45,55,225.0,2,0,29.84,0
2005-06-02,73.0,45.0,60.22,48.43,55.0,43.0,48.43,9.0,6.0,29.75,63,48,59,337.5,6,0,29.69,2
2005-06-03,82.0,54.0,67.92,54.31,59.0,50.0,54.31,15.0,6.0,29.58,72,54,53,360.0,3,0,29.55,0
2005-06-04,68.0,55.0,63.24,50.55,59.0,43.0,50.55,23.0,6.0,29.64,64,52,64,292.5,17,0,29.55,5
2005-06-05,66.0,52.0,58.61,48.14,54.0,43.0,48.14,17.0,6.0,29.69,59,50,72,292.5,10,0,29.66,5
2005-06-06,66.0,54.0,58.91,49.09,52.0,45.0,49.09,14.0,6.0,29.81,59,50,72,292.5,9,0,29.66,5
2005-06-07,61.0,46.0,53.74,38.03,45.0,34.0,38.03,15.0,6.0,30.13,52,34,50,180.0,15,29,29.98,2
2005-06-08,64.0,45.0,55.05,40.12,45.0,36.0,40.12,12.0,6.0,30.16,55,41,58,157.5,6,0,30.16,0
2005-06-09,66.0,45.0,57.63,40.51,46.0,34.0,40.51,12.0,6.0,30.1,59,46,63,112.5,6,0,30.04,2
2005-06-10,70.0,45.0,58.12,44.61,48.0,41.0,44.61,10.0,6.0,29.87,63,45,52,22.5,3,0,29.78,0
2005-06-11,61.0,52.0,55.36,42.36,50.0,36.0,42.36,12.0,6.0,29.61,52,41,67,135.0,8,0,29.58,2
2005-06-12,64.0,45.0,55.31,41.44,45.0,37.0,41.44,8.0,6.0,29.49,57,43,59,292.5,6,0,29.49,5
2005-06-13,73.0,43.0,59.52,44.4,48.0,41.0,44.4,18.0,6.0,29.4,63,48,59,315.0,9,0,29.31,2
2005-06-14,70.0,54.0,61.85,53.62,61.0,46.0,53.62,8.0,6.0,29.61,64,52,64,180.0,5,0,29.43,0
2005-06-15,79.0,52.0,63.0,54.49,59.0,52.0,54.49,7.0,6.0,29.72,57,57,100,337.5,2,0,29.72,2
2005-06-16,77.0,57.0,67.38,55.08,57.0,54.0,55.08,10.0,6.0,29.87,68,55,64,315.0,5,0,29.84,2
2005-06-17,79.0,63.0,68.51,61.11,64.0,57.0,61.11,12.0,6.0,29.93,64,64,100,360.0,9,0,29.93,6
2005-06-18,81.0,64.0,71.84,54.57,63.0,36.0,54.57,14.0,6.0,29.93,72,61,69,135.0,9,0,29.93,5
2005-06-19,84.0,54.0,71.22,50.0,57.0,45.0,50.0,13.0,6.0,29.84,70,50,49,90.0,9,0,29.81,0
2005-06-20,90.0,61.0,76.15,55.08,59.0,52.0,55.08,9.0,6.0,29.69,77,57,50,90.0,5,0,29.66,0
2005-06-21,93.0,64.0,78.62,57.77,68.0,50.0,57.77,22.0,6.0,29.66,81,61,51,90.0,6,0,29.64,0
2005-06-22,82.0,66.0,74.43,56.77,66.0,54.0,56.77,10.0,6.0,29.78,73,55,53,157.5,9,0,29.78,0
2005-06-23,88.0,59.0,74.97,54.25,57.0,50.0,54.25,14.0,6.0,29.81,73,57,57,427.5,6,0,29.78,0
2005-06-24,91.0,68.0,80.55,60.24,64.0,57.0,60.24,10.0,6.0,29.64,81,59,48,360.0,5,0,29.58,5
2005-06-25,86.0,72.0,76.59,63.91,68.0,59.0,63.91,16.0,6.0,29.69,79,64,61,337.5,13,0,29.58,2
2005-06-26,79.0,64.0,70.95,60.05,66.0,57.0,60.05,13.0,6.0,29.84,72,59,64,135.0,7,0,29.81,0
2005-06-27,88.0,61.0,75.31,59.33,63.0,54.0,59.33,8.0,6.0,29.78,73,61,65,112.5,3,0,29.78,0
2005-06-28,88.0,66.0,76.88,54.73,59.0,50.0,54.73,13.0,6.0,29.66,73,55,53,135.0,6,0,29.66,0
2005-06-29,84.0,61.0,72.13,61.5,66.0,52.0,61.5,22.0,6.0,29.49,66,61,83,112.5,5,0,29.46,2
2005-06-30,79.0,61.0,69.64,59.1,64.0,54.0,59.1,16.0,6.0,29.43,70,63,78,315.0,12,0,29.43,5
2005-07-01,72.0,59.0,64.78,58.25,63.0,54.0,58.25,15.0,6.0,29.69,61,61,100,315.0,9,0,29.52,5
2005-07-02,70.0,59.0,65.17,60.52,64.0,57.0,60.52,12.0,6.0,29.78,64,59,83,315.0,5,0,29.75,2
