date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,63.0,48.0,56.32,52.13,55.0,43.0,52.13,15.0,6.0,29.86,54,52,94,270.0,9,0,29.77,2
2005-05-05,55.0,43.0,48.57,37.21,46.0,0.0,37.21,20.0,6.0,29.89,48,39,71,247.5,16,0,29.89,0
2005-05-06,54.0,43.0,49.33,43.3,48.0,39.0,43.3,21.0,6.0,29.77,52,45,76,270.0,16,0,29.65,5
2005-05-07,55.0,37.0,45.57,39.48,43.0,36.0,39.48,15.0,6.0,29.74,48,43,82,337.5,7,0,29.62,5
2005-05-08,50.0,39.0,43.91,37.94,41.0,36.0,37.94,18.0,6.0,29.68,46,39,76,315.0,13,0,29.65,5
2005-05-09,52.0,37.0,44.09,37.61,41.0,34.0,37.61,17.0,6.0,29.77,45,39,81,292.5,12,0,29.65,2
2005-05-10,52.0,39.0,44.36,40.06,43.0,37.0,40.06,15.0,6.0,29.92,46,41,81,292.5,9,0,29.83,5
2005-05-11,54.0,37.0,46.19,39.85,43.0,37.0,39.85,21.0,6.0,30.12,48,43,82,225.0,9,0,30.03,5
2005-05-12,55.0,39.0,48.28,39.87,43.0,36.0,39.87,12.0,6.0,30.18,48,41,76,225.0,8,0,30.18,2
2005-05-13,61.0,34.0,50.47,37.17,45.0,0.0,37.17,9.0,6.0,30.18,55,41,58,405.0,2,0,30.18,0
2005-05-14,64.0,43.0,53.64,41.53,46.0,37.0,41.53,15.0,6.0,30.06,59,45,59,112.5,8,0,29.89,0
2005-05-15,59.0,46.0,50.77,44.79,48.0,41.0,44.79,14.0,6.0,29.83,52,48,88,157.5,6,0,29.83,0
2005-05-16,54.0,43.0,48.74,42.02,46.0,36.0,42.02,14.0,6.0,29.86,48,43,82,292.5,12,0,29.8,2
2005-05-17,52.0,36.0,45.91,33.13,37.0,0.0,33.13,13.0,6.0,29.98,48,36,62,225.0,8,0,29.92,5
