date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,54.0,48.0,50.77,44.96,48.0,37.0,44.96,15.0,6.0,30.19,52,48,88,202.5,12,0,29.98,2.0
2005-05-05,63.0,41.0,54.58,42.62,46.0,37.0,42.62,15.0,6.0,30.19,50,43,76,270.0,9,0,30.19,2.0
2005-05-06,61.0,52.0,56.59,37.11,45.0,34.0,37.11,17.0,6.0,30.04,54,37,54,247.5,12,0,30.04,0.0
2005-05-07,54.0,50.0,52.46,39.46,45.0,36.0,39.46,20.0,6.0,29.87,52,39,62,247.5,18,0,29.84,5.0
2005-05-08,57.0,50.0,53.89,25.0,37.0,0.0,25.0,17.0,6.0,29.9,52,36,54,247.5,12,0,29.9,5.0
2005-05-09,54.0,43.0,49.25,34.5,39.0,0.0,34.5,9.0,6.0,30.01,50,36,58,180.0,6,0,29.98,5.0
2005-05-10,52.0,41.0,48.52,36.76,41.0,34.0,36.76,12.0,6.0,30.25,46,37,71,180.0,10,0,30.13,2.0
2005-05-11,52.0,39.0,48.16,30.55,39.0,0.0,30.55,14.0,6.0,30.31,48,34,57,157.5,6,0,30.28,0.0
2005-05-12,55.0,41.0,51.12,38.31,41.0,37.0,38.31,21.0,6.0,30.22,50,37,62,90.0,18,0,30.19,5.0
2005-05-13,57.0,46.0,52.57,40.29,43.0,37.0,40.29,25.0,6.0,30.1,54,43,67,112.5,18,0,30.1,5.0
2005-05-14,54.0,45.0,48.46,39.46,41.0,37.0,39.46,14.0,6.0,30.01,48,41,76,157.5,14,0,30.01,0.0
2005-05-15,63.0,54.0,59.05,27.9,43.0,0.0,27.9,8.0,6.0,30.07,55,37,51,135.0,5,0,30.07,0.0
2005-05-16,57.0,46.0,52.32,43.39,48.0,36.0,43.39,13.0,6.0,30.07,55,39,54,247.5,8,0,29.93,0.0
2005-05-17,52.0,39.0,48.41,23.52,36.0,0.0,23.52,8.0,6.0,30.13,46,0,57,180.0,7,0,30.1,2.0
2005-05-18,59.0,45.0,53.53,20.97,39.0,0.0,20.97,13.0,6.0,30.16,54,37,54,270.0,8,0,30.16,0.0
2005-05-19,57.0,52.0,55.65,51.13,55.0,46.0,51.13,14.0,6.0,29.98,55,48,77,337.5,13,0,29.98,2.0
2005-05-20,63.0,55.0,58.86,50.64,54.0,46.0,50.64,20.0,6.0,29.84,57,54,88,337.5,12,0,29.84,2.0
2005-05-21,55.0,52.0,53.57,47.0,50.0,45.0,47.0,8.0,6.0,29.81,55,46,72,360.0,7,0,29.78,5.0
2005-05-22,61.0,54.0,58.57,43.29,46.0,41.0,43.29,16.0,6.0,29.75,57,41,55,292.5,8,0,29.72,5.0
2005-05-23,61.0,48.0,56.57,37.63,43.0,34.0,37.63,17.0,6.0,30.04,55,39,54,315.0,14,0,29.93,2.0
2005-05-24,63.0,52.0,57.13,49.1,52.0,45.0,49.1,20.0,6.0,30.04,54,50,88,360.0,13,0,29.98,2.0
2005-05-25,72.0,54.0,63.47,51.15,55.0,41.0,51.15,12.0,6.0,30.16,59,54,82,337.5,10,0,30.16,2.0
2005-05-26,75.0,64.0,70.77,53.65,59.0,45.0,53.65,14.0,6.0,29.98,70,50,49,292.5,10,0,29.96,0.0
2005-05-27,86.0,59.0,77.32,57.09,61.0,54.0,57.09,13.0,6.0,29.93,73,55,53,427.5,12,0,29.87,0.0
2005-05-28,66.0,59.0,61.18,48.36,52.0,46.0,48.36,22.0,6.0,29.93,61,46,59,292.5,22,0,29.9,0.0
2005-05-29,63.0,57.0,60.9,40.05,50.0,36.0,40.05,8.0,6.0,30.13,57,43,59,22.5,3,0,30.13,0.0
2005-05-30,63.0,52.0,58.48,45.04,52.0,39.0,45.04,10.0,6.0,30.25,57,48,72,67.5,0,0,30.13,2.0
2005-05-31,64.0,50.0,60.97,43.23,46.0,39.0,43.23,8.0,6.0,30.28,61,46,59,67.5,0,0,30.28,0.0
2005-06-01,63.0,52.0,58.4,51.77,57.0,45.0,51.77,13.0,6.0,30.19,59,48,67,337.5,6,0,30.16,5.0
2005-06-02,66.0,57.0,61.63,53.97,55.0,52.0,53.97,13.0,6.0,29.98,61,55,82,315.0,9,0,29.98,2.0
2005-06-03,70.0,55.0,60.55,50.03,52.0,45.0,50.03,15.0,6.0,29.81,59,52,77,22.5,2,0,29.75,0.0
2005-06-04,63.0,55.0,58.38,48.54,50.0,45.0,48.54,18.0,6.0,29.87,59,48,67,270.0,17,0,29.84,5.0
2005-06-05,64.0,59.0,62.68,48.36,52.0,46.0,48.36,16.0,6.0,30.01,63,48,59,270.0,13,0,30.01,5.0
2005-06-06,59.0,52.0,56.06,46.42,54.0,37.0,46.42,13.0,6.0,30.43,54,50,88,90.0,10,0,30.16,2.0
2005-06-07,63.0,45.0,55.2,39.53,45.0,37.0,39.53,14.0,6.0,30.6,52,39,62,112.5,9,0,30.6,5.0
2005-06-08,66.0,48.0,59.23,33.7,43.0,0.0,33.7,13.0,6.0,30.63,55,41,58,22.5,3,0,30.63,0.0
2005-06-09,70.0,50.0,64.12,36.55,46.0,0.0,36.55,9.0,6.0,30.52,63,30,30,67.5,0,0,30.49,0.0
2005-06-10,66.0,55.0,60.06,49.39,54.0,43.0,49.39,13.0,6.0,30.25,64,50,59,157.5,5,0,30.22,0.0
2005-06-11,57.0,46.0,51.62,41.92,43.0,41.0,41.92,8.0,6.0,30.1,54,41,62,180.0,5,0,30.07,0.0
2005-06-12,66.0,57.0,60.42,43.74,48.0,39.0,43.74,14.0,6.0,29.78,61,48,63,247.5,8,0,29.78,5.0
2005-06-13,66.0,48.0,59.63,39.81,43.0,36.0,39.81,15.0,6.0,29.75,57,41,55,292.5,10,0,29.72,5.0
2005-06-14,68.0,50.0,61.7,44.67,48.0,41.0,44.67,14.0,6.0,29.9,61,45,55,292.5,9,0,29.78,2.0
2005-06-15,68.0,55.0,61.2,50.93,59.0,45.0,50.93,18.0,6.0,29.93,55,54,94,382.5,8,0,29.9,2.0
2005-06-16,68.0,59.0,63.41,57.16,63.0,50.0,57.16,16.0,6.0,30.16,63,52,68,315.0,15,0,30.1,2.0
2005-06-17,81.0,64.0,73.21,61.73,63.0,61.0,61.73,15.0,6.0,30.31,70,61,73,270.0,15,0,30.28,6.0
2005-06-18,82.0,68.0,74.92,62.75,64.0,61.0,62.75,10.0,6.0,30.28,77,64,65,405.0,6,0,30.28,0.0
2005-06-19,88.0,81.0,85.15,54.9,61.0,50.0,54.9,13.0,6.0,30.01,82,61,48,360.0,8,0,30.01,0.0
2005-06-20,79.0,68.0,74.1,60.27,64.0,54.0,60.27,8.0,6.0,29.98,68,64,88,180.0,5,0,29.96,2.0
2005-06-21,77.0,63.0,71.34,48.86,55.0,45.0,48.86,10.0,6.0,30.13,68,48,49,270.0,5,0,30.07,0.0
2005-06-22,82.0,63.0,75.71,54.48,55.0,54.0,54.48,10.0,6.0,30.19,73,55,53,22.5,2,0,30.19,0.0
2005-06-23,86.0,66.0,80.03,52.77,55.0,46.0,52.77,9.0,6.0,30.07,79,48,34,67.5,0,0,30.04,0.0
2005-06-24,84.0,66.0,73.3,59.73,63.0,57.0,59.73,20.0,6.0,29.93,81,59,48,67.5,0,0,29.9,0.0
2005-06-25,64.0,61.0,62.93,59.43,61.0,59.0,59.43,10.0,4.0,30.1,63,59,88,157.5,7,0,30.07,6.0
2005-06-26,66.0,59.0,62.36,50.82,52.0,48.0,50.82,14.0,6.0,30.31,59,50,72,135.0,9,0,30.31,6.0
2005-06-27,73.0,54.0,65.88,53.31,57.0,50.0,53.31,13.0,6.0,30.22,64,54,68,90.0,5,0,30.22,0.0
2005-06-28,73.0,57.0,66.17,50.6,57.0,45.0,50.6,22.0,6.0,30.07,66,48,52,112.5,16,0,30.01,0.0
2005-06-29,75.0,59.0,66.77,56.28,59.0,50.0,56.28,13.0,6.0,29.81,66,59,78,270.0,9,0,29.78,6.0
2005-06-30,64.0,59.0,62.9,56.2,59.0,52.0,56.2,17.0,6.0,29.75,64,59,83,315.0,9,0,29.69,2.0
2005-07-01,72.0,59.0,65.41,55.13,59.0,50.0,55.13,15.0,6.0,29.98,66,54,64,292.5,10,0,29.9,5.0
