date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,55.0,46.0,51.0,46.64,50.0,45.0,46.64,14.0,6.0,28.65,52,46,82,292.5,13,0,28.62,2.0
2005-05-05,57.0,46.0,50.5,36.74,46.0,0.0,36.74,12.0,6.0,28.73,46,43,87,180.0,10,0,28.73,2.0
2005-05-06,57.0,46.0,50.45,40.13,46.0,34.0,40.13,18.0,6.0,28.73,48,45,87,270.0,12,0,28.65,2.0
2005-05-07,54.0,41.0,45.74,40.28,46.0,36.0,40.28,22.0,6.0,28.68,46,45,93,315.0,14,0,28.45,2.0
2005-05-08,52.0,37.0,43.85,36.21,39.0,34.0,36.21,21.0,6.0,28.59,45,37,76,292.5,8,0,28.59,5.0
2005-05-09,54.0,36.0,43.46,31.59,37.0,0.0,31.59,12.0,6.0,28.65,41,37,87,270.0,5,0,28.59,2.0
2005-05-10,55.0,37.0,45.64,28.0,36.0,0.0,28.0,13.0,6.0,28.79,45,0,61,157.5,12,0,28.71,0.0
2005-05-11,55.0,37.0,46.25,26.05,36.0,0.0,26.05,12.0,6.0,28.88,45,0,61,157.5,9,0,28.88,0.0
2005-05-12,61.0,39.0,51.13,35.9,39.0,34.0,35.9,20.0,6.0,28.85,50,37,62,112.5,12,0,28.79,0.0
2005-05-13,57.0,46.0,51.24,38.45,45.0,34.0,38.45,14.0,6.0,28.71,48,37,66,112.5,9,0,28.71,0.0
2005-05-14,54.0,48.0,50.54,47.05,52.0,41.0,47.05,12.0,6.0,28.62,48,46,93,135.0,7,0,28.51,2.0
2005-05-15,59.0,41.0,49.82,39.18,48.0,0.0,39.18,12.0,6.0,28.68,48,41,76,270.0,5,0,28.68,0.0
2005-05-16,61.0,39.0,52.92,39.92,45.0,36.0,39.92,6.0,6.0,28.65,52,41,67,427.5,3,0,28.62,0.0
2005-05-17,54.0,41.0,48.43,39.57,45.0,34.0,39.57,13.0,6.0,28.71,48,41,76,180.0,8,0,28.62,2.0
2005-05-18,57.0,37.0,46.62,13.14,36.0,0.0,13.14,10.0,6.0,28.9,46,36,66,157.5,10,0,28.79,0.0
2005-05-19,63.0,41.0,53.05,33.23,41.0,0.0,33.23,10.0,6.0,28.9,52,37,58,360.0,7,0,28.9,0.0
2005-05-20,72.0,50.0,61.03,46.26,52.0,41.0,46.26,14.0,6.0,28.82,55,45,67,360.0,8,0,28.79,0.0
2005-05-21,63.0,54.0,56.38,52.73,55.0,50.0,52.73,10.0,6.0,28.68,57,54,88,315.0,8,0,28.65,2.0
2005-05-22,59.0,52.0,55.77,49.83,52.0,48.0,49.83,10.0,6.0,28.62,57,50,77,337.5,9,0,28.59,2.0
2005-05-23,61.0,48.0,53.79,44.29,50.0,36.0,44.29,15.0,6.0,28.88,55,48,77,292.5,5,0,28.71,2.0
2005-05-24,64.0,45.0,56.72,44.59,48.0,41.0,44.59,13.0,6.0,28.93,57,46,67,337.5,5,0,28.9,5.0
2005-05-25,75.0,52.0,65.97,50.1,54.0,46.0,50.1,7.0,6.0,28.96,64,50,59,337.5,5,0,28.96,0.0
2005-05-26,84.0,59.0,70.39,53.11,57.0,50.0,53.11,10.0,6.0,28.9,70,54,56,405.0,6,0,28.85,0.0
2005-05-27,84.0,64.0,75.24,55.58,61.0,52.0,55.58,9.0,6.0,28.76,73,57,57,22.5,2,0,28.73,0.0
2005-05-28,86.0,64.0,75.15,60.95,64.0,57.0,60.95,10.0,6.0,28.76,72,61,69,360.0,6,0,28.71,0.0
2005-05-29,82.0,59.0,71.02,55.51,63.0,48.0,55.51,12.0,6.0,28.79,68,55,64,135.0,7,0,28.79,0.0
2005-05-30,61.0,50.0,55.0,51.55,59.0,45.0,51.55,17.0,6.0,28.96,55,52,88,270.0,10,0,28.73,2.0
2005-05-31,61.0,43.0,53.57,43.8,46.0,39.0,43.8,10.0,6.0,28.99,52,45,76,22.5,2,0,28.99,5.0
2005-06-01,64.0,48.0,57.56,43.89,46.0,39.0,43.89,7.0,6.0,28.93,59,45,59,382.5,5,0,28.9,5.0
2005-06-02,70.0,50.0,61.44,49.49,54.0,45.0,49.49,9.0,6.0,28.82,63,50,63,292.5,7,0,28.76,5.0
2005-06-03,79.0,57.0,65.43,54.07,59.0,52.0,54.07,17.0,6.0,28.68,66,54,64,382.5,6,0,28.62,0.0
2005-06-04,61.0,50.0,55.74,47.72,54.0,45.0,47.72,17.0,6.0,28.73,54,46,77,270.0,9,0,28.68,2.0
2005-06-05,59.0,46.0,52.73,45.64,48.0,43.0,45.64,15.0,6.0,28.79,54,46,77,292.5,10,0,28.76,2.0
2005-06-06,61.0,50.0,53.27,49.48,54.0,43.0,49.48,13.0,6.0,28.9,52,50,94,22.5,1,0,28.76,2.0
2005-06-07,55.0,39.0,48.91,36.04,43.0,34.0,36.04,15.0,6.0,29.19,46,34,62,180.0,10,0,29.1,2.0
2005-06-08,63.0,43.0,52.96,37.39,41.0,34.0,37.39,14.0,6.0,29.21,54,41,62,112.5,10,0,29.19,0.0
2005-06-09,64.0,46.0,55.78,38.31,43.0,36.0,38.31,13.0,6.0,29.16,55,41,58,135.0,7,0,29.1,0.0
2005-06-10,66.0,48.0,57.72,40.72,46.0,37.0,40.72,8.0,6.0,28.96,57,43,59,135.0,5,0,28.88,0.0
2005-06-11,59.0,48.0,53.42,41.27,48.0,34.0,41.27,12.0,6.0,28.71,48,41,76,157.5,10,0,28.68,2.0
2005-06-12,63.0,43.0,53.2,37.63,41.0,36.0,37.63,9.0,6.0,28.59,54,37,54,202.5,3,0,28.56,5.0
2005-06-13,66.0,46.0,57.16,41.87,46.0,39.0,41.87,15.0,6.0,28.51,57,46,67,270.0,12,0,28.42,5.0
2005-06-14,66.0,54.0,60.02,50.07,57.0,39.0,50.07,7.0,6.0,28.71,59,46,63,22.5,2,0,28.54,0.0
2005-06-15,73.0,50.0,63.23,51.21,55.0,45.0,51.21,15.0,6.0,28.82,64,54,68,382.5,3,0,28.79,0.0
2005-06-16,72.0,57.0,64.2,53.67,57.0,50.0,53.67,13.0,6.0,28.99,61,55,82,315.0,5,0,28.9,2.0
2005-06-17,75.0,61.0,68.0,57.96,61.0,54.0,57.96,12.0,6.0,29.04,68,59,73,270.0,10,0,29.02,2.0
2005-06-18,82.0,61.0,72.07,57.67,61.0,52.0,57.67,12.0,6.0,29.04,68,57,68,157.5,12,0,29.02,2.0
2005-06-19,86.0,61.0,73.05,47.82,54.0,43.0,47.82,10.0,6.0,28.88,70,48,46,112.5,7,0,28.85,0.0
2005-06-20,88.0,64.0,77.04,51.39,55.0,48.0,51.39,9.0,6.0,28.76,75,54,47,427.5,5,0,28.73,0.0
2005-06-21,90.0,68.0,79.5,56.27,66.0,50.0,56.27,10.0,6.0,28.79,79,57,47,427.5,3,0,28.73,0.0
2005-06-22,84.0,64.0,73.56,53.27,57.0,50.0,53.27,12.0,6.0,28.88,72,55,57,90.0,6,0,28.88,0.0
2005-06-23,86.0,64.0,75.23,53.14,57.0,52.0,53.14,9.0,6.0,28.88,72,55,57,90.0,5,0,28.85,0.0
2005-06-24,90.0,64.0,77.67,56.91,61.0,54.0,56.91,16.0,6.0,28.73,77,59,54,360.0,3,0,28.68,0.0
2005-06-25,81.0,66.0,72.38,61.05,68.0,54.0,61.05,12.0,6.0,28.79,68,61,78,292.5,7,0,28.71,0.0
2005-06-26,81.0,63.0,71.4,62.18,64.0,59.0,62.18,10.0,6.0,28.9,70,61,73,135.0,8,0,28.88,0.0
2005-06-27,86.0,64.0,74.64,60.78,64.0,57.0,60.78,9.0,6.0,28.88,72,61,69,22.5,2,0,28.85,0.0
2005-06-28,91.0,66.0,78.34,58.77,63.0,54.0,58.77,12.0,6.0,28.76,75,57,53,135.0,7,0,28.73,0.0
2005-06-29,81.0,61.0,69.3,61.09,64.0,55.0,61.09,22.0,6.0,28.59,68,61,78,157.5,8,0,28.54,0.0
2005-06-30,73.0,57.0,63.05,56.47,59.0,52.0,56.47,14.0,6.0,28.54,63,57,82,292.5,7,0,28.54,2.0
2005-07-01,66.0,55.0,58.96,54.28,57.0,52.0,54.28,18.0,6.0,28.82,57,55,94,270.0,13,0,28.62,2.0
2005-07-02,66.0,59.0,61.43,59.23,63.0,57.0,59.23,8.0,6.0,28.85,59,59,100,337.5,6,0,28.82,2.0
2005-07-03,77.0,59.0,67.93,60.32,63.0,57.0,60.32,6.0,6.0,28.85,66,61,83,405.0,5,0,28.79,0.0
2005-07-04,73.0,57.0,64.49,56.07,63.0,46.0,56.07,24.0,6.0,28.65,73,61,65,405.0,9,0,28.42,0.0
2005-07-05,64.0,50.0,57.39,43.32,46.0,39.0,43.32,18.0,6.0,28.68,57,43,59,270.0,13,0,28.68,5.0
2005-07-06,63.0,52.0,56.84,50.38,57.0,45.0,50.38,17.0,6.0,28.62,54,54,100,360.0,8,0,28.48,2.0
2005-07-07,55.0,50.0,52.89,49.77,52.0,48.0,49.77,16.0,6.0,28.59,55,48,77,292.5,12,0,28.54,2.0
2005-07-08,61.0,52.0,55.34,51.62,54.0,50.0,51.62,7.0,6.0,28.71,55,52,88,157.5,3,0,28.65,2.0
2005-07-09,73.0,52.0,60.91,51.32,54.0,48.0,51.32,10.0,6.0,28.85,57,52,82,22.5,1,0,28.76,5.0
2005-07-10,79.0,57.0,67.91,55.05,61.0,52.0,55.05,16.0,6.0,28.93,66,55,68,157.5,10,0,28.9,5.0
2005-07-11,82.0,63.0,71.87,55.22,59.0,50.0,55.22,16.0,6.0,28.99,72,59,64,135.0,10,0,28.99,0.0
2005-07-12,82.0,63.0,71.6,55.4,59.0,50.0,55.4,15.0,6.0,28.99,70,57,64,135.0,12,0,28.99,0.0
2005-07-13,84.0,64.0,74.8,54.93,59.0,50.0,54.93,13.0,6.0,28.93,75,59,57,135.0,8,0,28.9,0.0
2005-07-14,86.0,66.0,76.61,57.0,63.0,54.0,57.0,10.0,6.0,28.88,75,61,61,22.5,2,0,28.85,0.0
2005-07-15,86.0,64.0,75.4,57.22,61.0,54.0,57.22,16.0,6.0,28.76,73,57,57,360.0,6,0,28.68,0.0
2005-07-16,82.0,59.0,72.98,54.98,59.0,52.0,54.98,14.0,6.0,28.71,73,57,57,22.5,1,0,28.68,0.0
2005-07-17,81.0,59.0,70.11,53.52,57.0,50.0,53.52,7.0,6.0,28.71,70,57,64,22.5,2,0,28.71,5.0
2005-07-18,81.0,59.0,70.6,53.0,61.0,48.0,53.0,30.0,6.0,28.62,72,54,53,67.5,0,0,28.54,0.0
2005-07-19,64.0,59.0,61.7,52.68,59.0,48.0,52.68,18.0,6.0,28.88,61,54,77,270.0,17,0,28.68,2.0
2005-07-20,64.0,55.0,59.73,53.16,59.0,50.0,53.16,20.0,6.0,28.88,61,50,68,270.0,13,0,28.85,2.0
2005-07-21,66.0,54.0,59.46,51.66,55.0,48.0,51.66,16.0,6.0,28.85,61,54,77,292.5,12,0,28.79,2.0
2005-07-22,70.0,55.0,60.36,50.49,54.0,46.0,50.49,15.0,6.0,28.71,57,54,88,270.0,8,0,28.65,2.0
2005-07-23,70.0,52.0,60.88,50.19,54.0,48.0,50.19,7.0,6.0,28.62,59,50,72,22.5,2,0,28.56,5.0
2005-07-24,66.0,57.0,61.2,57.84,61.0,54.0,57.84,8.0,6.0,28.54,61,57,88,22.5,2,0,28.51,2.0
2005-07-25,72.0,61.0,64.75,57.7,61.0,54.0,57.7,17.0,6.0,28.48,64,55,73,292.5,14,0,28.45,2.0
2005-07-26,72.0,59.0,64.74,56.65,59.0,55.0,56.65,9.0,6.0,28.59,61,55,82,270.0,9,0,28.59,2.0
2005-07-27,84.0,61.0,72.23,60.77,66.0,57.0,60.77,9.0,6.0,28.59,72,63,73,22.5,1,0,28.56,0.0
2005-07-28,86.0,63.0,72.76,62.89,64.0,61.0,62.89,20.0,6.0,28.71,72,64,78,360.0,6,0,28.59,0.0
2005-07-29,79.0,0.0,57.28,52.26,66.0,0.0,52.26,16.0,6.0,28.71,66,64,94,405.0,5,0,28.65,2.0
2005-07-30,70.0,57.0,62.77,55.33,61.0,50.0,55.33,15.0,6.0,28.71,63,55,77,292.5,6,0,28.71,2.0
2005-07-31,68.0,52.0,60.27,52.58,55.0,48.0,52.58,18.0,6.0,28.76,63,54,72,315.0,8,0,28.68,5.0
2005-08-01,70.0,55.0,62.48,54.91,57.0,54.0,54.91,8.0,6.0,28.82,63,55,77,22.5,1,0,28.76,2.0
2005-08-02,73.0,55.0,63.88,52.33,55.0,50.0,52.33,15.0,6.0,28.85,61,52,72,135.0,13,0,28.82,2.0
2005-08-03,73.0,0.0,60.53,48.82,55.0,0.0,48.82,17.0,6.0,28.9,63,48,59,225.0,7,0,28.88,0.0
2005-08-04,70.0,52.0,60.61,48.49,54.0,46.0,48.49,10.0,6.0,28.96,64,52,64,247.5,3,0,28.96,0.0
2005-08-05,66.0,54.0,58.95,52.19,57.0,48.0,52.19,22.0,6.0,28.93,61,52,72,337.5,5,0,28.85,2.0
2005-08-06,63.0,50.0,56.67,49.86,57.0,45.0,49.86,14.0,6.0,28.82,55,50,82,270.0,3,0,28.82,2.0
2005-08-07,61.0,48.0,53.33,46.36,50.0,45.0,46.36,13.0,6.0,28.71,50,48,94,22.5,2,0,28.65,2.0
2005-08-08,61.0,48.0,53.68,49.14,54.0,45.0,49.14,9.0,6.0,28.73,54,48,82,270.0,8,0,28.73,2.0
2005-08-09,66.0,48.0,57.04,47.27,52.0,45.0,47.27,9.0,6.0,28.73,54,50,88,270.0,5,0,28.73,2.0
2005-08-10,66.0,54.0,59.07,48.23,52.0,46.0,48.23,10.0,6.0,28.68,55,48,77,202.5,5,0,28.65,0.0
2005-08-11,70.0,48.0,58.96,52.2,59.0,46.0,52.2,12.0,6.0,28.71,55,52,88,292.5,3,0,28.71,2.0
2005-08-12,70.0,54.0,61.17,53.8,59.0,48.0,53.8,17.0,6.0,28.68,61,57,88,22.5,2,0,28.62,2.0
2005-08-13,68.0,48.0,59.66,50.32,52.0,46.0,50.32,9.0,6.0,28.79,59,50,72,22.5,2,0,28.79,0.0
2005-08-14,61.0,54.0,56.4,51.83,55.0,48.0,51.83,20.0,6.0,28.71,55,54,94,337.5,12,0,28.54,2.0
2005-08-15,59.0,54.0,55.27,51.96,54.0,50.0,51.96,15.0,6.0,28.88,54,50,88,202.5,12,0,28.76,2.0
2005-08-16,72.0,54.0,62.3,53.68,55.0,52.0,53.68,12.0,6.0,28.88,63,55,77,112.5,9,0,28.88,5.0
2005-08-17,75.0,55.0,65.16,54.38,57.0,52.0,54.38,13.0,6.0,28.85,63,55,77,135.0,8,0,28.82,0.0
2005-08-18,77.0,57.0,68.3,56.64,61.0,52.0,56.64,10.0,6.0,28.73,66,57,73,112.5,7,0,28.65,0.0
2005-08-19,68.0,61.0,64.48,59.59,63.0,57.0,59.59,10.0,6.0,28.71,64,59,83,337.5,6,0,28.65,2.0
2005-08-20,66.0,55.0,59.51,52.45,57.0,50.0,52.45,10.0,6.0,28.79,57,52,82,315.0,5,0,28.76,2.0
2005-08-21,68.0,52.0,59.61,53.8,57.0,50.0,53.8,14.0,6.0,28.79,59,54,82,180.0,9,0,28.79,5.0
2005-08-22,68.0,59.0,62.6,57.0,59.0,55.0,57.0,16.0,6.0,28.71,64,57,77,180.0,14,0,28.68,2.0
2005-08-23,68.0,55.0,60.43,56.18,59.0,54.0,56.18,13.0,6.0,28.73,63,57,82,22.5,1,0,28.65,2.0
2005-08-24,68.0,52.0,59.98,51.78,54.0,50.0,51.78,14.0,6.0,28.73,59,54,82,315.0,3,0,28.71,0.0
2005-08-25,59.0,50.0,56.28,52.53,55.0,50.0,52.53,16.0,6.0,28.56,55,52,88,315.0,12,0,28.42,2.0
2005-08-26,64.0,46.0,55.49,46.81,50.0,45.0,46.81,14.0,6.0,28.79,54,48,82,270.0,10,0,28.73,5.0
2005-08-27,66.0,48.0,57.61,47.91,52.0,46.0,47.91,5.0,6.0,28.79,55,50,82,22.5,2,0,28.79,0.0
2005-08-28,73.0,52.0,63.02,49.04,52.0,46.0,49.04,7.0,6.0,28.9,63,52,68,90.0,3,0,28.88,0.0
2005-08-29,81.0,55.0,67.76,50.35,54.0,48.0,50.35,8.0,6.0,28.93,66,52,60,112.5,5,0,28.93,0.0
2005-08-30,82.0,63.0,72.11,54.38,59.0,48.0,54.38,12.0,6.0,28.96,68,54,60,135.0,9,0,28.96,0.0
2005-08-31,84.0,64.0,73.28,56.96,63.0,54.0,56.96,9.0,6.0,28.85,70,59,68,90.0,6,0,28.76,0.0
2005-09-01,75.0,61.0,68.5,58.86,61.0,55.0,58.86,16.0,6.0,28.82,68,61,78,315.0,12,0,28.68,0.0
2005-09-02,79.0,57.0,67.81,55.02,59.0,50.0,55.02,12.0,6.0,28.99,63,59,88,180.0,5,0,28.93,0.0
2005-09-03,79.0,61.0,69.13,56.91,63.0,54.0,56.91,13.0,6.0,29.02,66,59,78,135.0,12,0,29.02,0.0
2005-09-04,79.0,59.0,68.45,55.07,61.0,54.0,55.07,14.0,6.0,28.99,64,55,73,112.5,8,0,28.93,0.0
2005-09-05,79.0,59.0,69.28,54.21,63.0,50.0,54.21,9.0,6.0,28.79,66,54,64,90.0,6,0,28.71,0.0
2005-09-06,79.0,61.0,68.4,59.72,63.0,57.0,59.72,9.0,6.0,28.62,66,61,83,427.5,7,0,28.59,2.0
2005-09-07,82.0,61.0,70.61,57.34,61.0,54.0,57.34,9.0,6.0,28.68,68,57,68,135.0,6,0,28.59,0.0
2005-09-08,82.0,63.0,72.0,57.44,61.0,54.0,57.44,7.0,6.0,28.71,70,59,68,22.5,2,0,28.71,0.0
2005-09-09,70.0,63.0,67.02,59.52,63.0,57.0,59.52,8.0,6.0,28.59,66,59,78,202.5,6,0,28.56,0.0
