date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,63.0,50.0,56.91,49.26,54.0,43.0,49.26,13.0,6.0,29.24,57,50,77,180.0,6,0,29.24,5
2005-05-05,61.0,52.0,54.27,47.35,50.0,45.0,47.35,17.0,6.0,29.3,54,48,82,180.0,13,0,29.19,2
2005-05-06,61.0,45.0,52.89,44.74,48.0,41.0,44.74,14.0,6.0,29.33,50,43,76,22.5,1,0,29.3,2
2005-05-07,64.0,48.0,55.59,46.16,48.0,45.0,46.16,9.0,6.0,29.27,54,48,82,22.5,1,0,29.22,2
2005-05-08,61.0,48.0,55.0,34.29,50.0,0.0,34.29,13.0,6.0,29.13,54,46,77,180.0,9,0,29.13,0
2005-05-09,63.0,43.0,53.04,34.73,41.0,0.0,34.73,12.0,6.0,29.07,52,39,62,157.5,3,0,29.07,5
2005-05-10,64.0,46.0,54.38,38.51,43.0,36.0,38.51,15.0,6.0,29.13,50,41,71,22.5,2,0,29.07,0
2005-05-11,66.0,43.0,54.94,37.06,41.0,34.0,37.06,12.0,6.0,29.22,48,37,66,180.0,6,0,29.22,0
2005-05-12,70.0,46.0,55.19,44.91,54.0,36.0,44.91,12.0,6.0,29.16,52,41,67,157.5,3,0,29.1,0
2005-05-13,73.0,55.0,63.79,51.92,54.0,48.0,51.92,17.0,6.0,29.1,64,52,64,427.5,10,0,29.1,0
2005-05-14,64.0,54.0,60.1,52.23,55.0,50.0,52.23,13.0,6.0,29.22,55,52,88,360.0,6,0,29.1,2
2005-05-15,70.0,50.0,60.42,49.1,54.0,43.0,49.1,7.0,6.0,29.22,59,50,72,180.0,5,0,29.22,0
2005-05-16,64.0,54.0,56.48,51.03,54.0,48.0,51.03,10.0,6.0,29.1,54,50,88,292.5,7,0,29.07,2
2005-05-17,66.0,54.0,60.89,47.57,52.0,45.0,47.57,20.0,6.0,29.07,54,50,88,202.5,6,0,29.07,2
2005-05-18,61.0,48.0,54.27,40.75,45.0,36.0,40.75,20.0,6.0,29.36,52,41,67,202.5,16,0,29.22,0
2005-05-19,68.0,43.0,56.04,40.86,45.0,34.0,40.86,8.0,6.0,29.39,54,43,67,135.0,3,0,29.39,0
2005-05-20,82.0,48.0,66.63,46.54,54.0,41.0,46.54,21.0,6.0,29.33,64,50,59,382.5,6,0,29.3,0
2005-05-21,77.0,61.0,68.0,43.46,54.0,36.0,43.46,23.0,6.0,29.22,64,48,56,360.0,7,0,29.16,0
2005-05-22,68.0,54.0,60.57,49.98,54.0,45.0,49.98,14.0,6.0,29.19,61,48,63,382.5,5,0,29.1,2
2005-05-23,64.0,52.0,57.02,48.14,52.0,39.0,48.14,14.0,6.0,29.39,55,50,82,157.5,6,0,29.27,5
2005-05-24,70.0,46.0,59.11,45.68,50.0,41.0,45.68,8.0,6.0,29.42,57,48,72,22.5,1,0,29.42,0
2005-05-25,79.0,52.0,65.7,51.43,57.0,46.0,51.43,6.0,6.0,29.42,63,52,68,22.5,2,0,29.42,0
2005-05-26,88.0,59.0,73.79,52.25,59.0,41.0,52.25,13.0,6.0,29.33,72,57,60,382.5,5,0,29.33,0
2005-05-27,86.0,64.0,76.65,49.52,54.0,45.0,49.52,17.0,6.0,29.22,75,50,41,360.0,13,0,29.22,0
2005-05-28,88.0,64.0,76.92,51.1,57.0,48.0,51.1,14.0,6.0,29.24,75,50,41,360.0,9,0,29.24,0
2005-05-29,90.0,64.0,77.23,54.21,57.0,48.0,54.21,15.0,6.0,29.22,73,57,57,292.5,3,0,29.22,0
2005-05-30,75.0,57.0,64.14,56.27,63.0,48.0,56.27,14.0,6.0,29.45,64,63,94,180.0,6,0,29.27,2
2005-05-31,68.0,52.0,60.38,47.02,54.0,43.0,47.02,18.0,6.0,29.45,61,45,55,180.0,17,0,29.42,0
2005-06-01,72.0,50.0,62.23,46.21,48.0,43.0,46.21,15.0,6.0,29.36,59,46,63,202.5,12,0,29.33,0
2005-06-02,79.0,54.0,66.23,49.5,55.0,46.0,49.5,6.0,6.0,29.24,63,50,63,180.0,2,0,29.24,0
2005-06-03,84.0,59.0,72.3,56.93,63.0,54.0,56.93,21.0,6.0,29.22,73,59,61,360.0,9,0,29.1,0
2005-06-04,70.0,61.0,64.83,54.93,63.0,48.0,54.93,12.0,6.0,29.3,63,55,77,157.5,7,0,29.27,2
2005-06-05,70.0,54.0,63.04,49.36,52.0,45.0,49.36,13.0,6.0,29.3,63,52,68,180.0,7,0,29.3,0
2005-06-06,68.0,55.0,62.13,51.85,55.0,48.0,51.85,13.0,6.0,29.33,63,50,63,180.0,8,0,29.3,2
2005-06-07,66.0,57.0,61.36,49.9,57.0,37.0,49.9,24.0,6.0,29.5,61,54,77,180.0,18,0,29.45,2
2005-06-08,68.0,45.0,56.83,40.52,45.0,39.0,40.52,18.0,6.0,29.56,52,41,67,225.0,6,0,29.53,0
2005-06-09,68.0,48.0,58.98,40.83,43.0,37.0,40.83,23.0,6.0,29.45,55,41,58,157.5,8,0,29.42,0
2005-06-10,70.0,45.0,58.58,39.94,43.0,36.0,39.94,9.0,6.0,29.27,55,41,58,22.5,2,0,29.27,0
2005-06-11,75.0,50.0,64.08,44.63,55.0,41.0,44.63,7.0,6.0,29.16,63,46,55,22.5,1,0,29.1,0
2005-06-12,79.0,55.0,68.11,54.74,57.0,46.0,54.74,20.0,6.0,29.01,63,54,72,225.0,3,0,28.99,0
2005-06-13,79.0,63.0,68.17,52.39,63.0,43.0,52.39,20.0,6.0,29.01,70,50,49,337.5,9,0,28.96,0
2005-06-14,66.0,59.0,62.23,58.11,61.0,52.0,58.11,14.0,6.0,29.22,63,57,82,360.0,7,0,29.01,2
2005-06-15,75.0,57.0,65.54,55.98,59.0,46.0,55.98,8.0,6.0,29.33,59,59,100,67.5,0,0,29.27,2
2005-06-16,75.0,61.0,68.65,56.58,61.0,54.0,56.58,15.0,6.0,29.45,68,55,64,180.0,10,0,29.39,2
2005-06-17,81.0,59.0,71.43,58.49,61.0,55.0,58.49,16.0,6.0,29.5,70,59,68,202.5,6,0,29.5,0
2005-06-18,86.0,63.0,74.53,63.21,66.0,61.0,63.21,8.0,6.0,29.39,72,64,78,22.5,2,0,29.36,0
2005-06-19,88.0,66.0,76.98,64.17,66.0,63.0,64.17,10.0,6.0,29.22,75,64,69,247.5,5,0,29.19,0
2005-06-20,90.0,68.0,79.26,61.48,66.0,59.0,61.48,12.0,6.0,29.16,79,59,51,90.0,5,0,29.13,0
2005-06-21,90.0,70.0,79.15,63.96,70.0,59.0,63.96,12.0,6.0,29.22,79,64,61,22.5,2,0,29.22,0
2005-06-22,91.0,68.0,79.98,65.2,68.0,59.0,65.2,15.0,6.0,29.27,77,66,69,202.5,5,0,29.27,0
2005-06-23,93.0,70.0,81.32,63.09,68.0,54.0,63.09,14.0,6.0,29.27,79,66,65,292.5,3,0,29.27,0
2005-06-24,91.0,73.0,81.63,59.98,64.0,54.0,59.98,17.0,6.0,29.19,81,61,51,360.0,9,0,29.19,0
2005-06-25,90.0,68.0,78.29,61.67,66.0,59.0,61.67,9.0,6.0,29.22,77,63,61,315.0,3,0,29.22,0
2005-06-26,91.0,68.0,80.52,63.98,66.0,61.0,63.98,9.0,6.0,29.27,81,64,58,90.0,6,0,29.27,0
2005-06-27,99.0,73.0,85.24,57.11,64.0,46.0,57.11,8.0,6.0,29.27,82,57,42,315.0,5,0,29.24,0
2005-06-28,97.0,73.0,83.22,60.43,72.0,55.0,60.43,23.0,6.0,29.19,82,61,48,292.5,9,0,29.16,0
2005-06-29,86.0,68.0,76.02,60.02,66.0,54.0,60.02,17.0,6.0,29.07,82,57,42,382.5,7,0,28.99,0
2005-06-30,79.0,61.0,70.49,58.23,63.0,52.0,58.23,10.0,6.0,29.1,70,61,73,157.5,5,0,29.1,0
2005-07-01,72.0,61.0,66.15,52.79,61.0,48.0,52.79,14.0,6.0,29.36,61,54,77,225.0,9,0,29.27,2
2005-07-02,79.0,59.0,69.4,56.64,61.0,54.0,56.64,14.0,6.0,29.36,68,55,64,180.0,8,0,29.36,0
2005-07-03,88.0,63.0,74.77,59.85,63.0,55.0,59.85,8.0,6.0,29.27,72,61,69,22.5,1,0,29.24,0
2005-07-04,81.0,63.0,71.2,57.83,64.0,48.0,57.83,21.0,6.0,29.16,75,59,57,360.0,7,0,28.96,2
2005-07-05,72.0,55.0,63.71,46.33,55.0,39.0,46.33,13.0,6.0,29.22,63,46,55,180.0,9,0,29.22,0
2005-07-06,72.0,59.0,63.21,52.43,61.0,43.0,52.43,20.0,6.0,29.19,63,55,77,405.0,8,0,29.1,2
2005-07-07,64.0,55.0,60.8,51.46,55.0,46.0,51.46,12.0,6.0,29.19,57,54,88,112.5,5,0,29.19,2
2005-07-08,64.0,55.0,59.23,52.52,55.0,48.0,52.52,12.0,6.0,29.22,57,54,88,157.5,3,0,29.19,2
2005-07-09,70.0,52.0,60.98,52.15,55.0,50.0,52.15,10.0,6.0,29.22,59,54,82,22.5,1,0,29.22,2
2005-07-10,77.0,57.0,67.04,54.4,57.0,50.0,54.4,22.0,6.0,29.3,63,55,77,180.0,13,0,29.24,5
2005-07-11,81.0,59.0,71.34,56.2,59.0,52.0,56.2,23.0,6.0,29.33,70,57,64,180.0,13,0,29.33,0
2005-07-12,82.0,59.0,71.73,55.67,57.0,55.0,55.67,18.0,6.0,29.33,68,57,68,202.5,7,0,29.33,0
2005-07-13,84.0,59.0,72.91,56.87,59.0,55.0,56.87,12.0,6.0,29.27,68,57,68,22.5,2,0,29.27,0
2005-07-14,88.0,63.0,76.77,54.71,59.0,48.0,54.71,8.0,6.0,29.3,73,59,61,180.0,2,0,29.3,0
2005-07-15,95.0,73.0,83.4,52.23,57.0,45.0,52.23,16.0,6.0,29.27,81,54,39,360.0,15,0,29.24,0
2005-07-16,93.0,75.0,83.02,54.56,63.0,50.0,54.56,13.0,6.0,29.22,82,50,32,337.5,8,0,29.19,0
2005-07-17,97.0,70.0,82.71,59.19,63.0,50.0,59.19,10.0,6.0,29.16,79,61,54,292.5,3,0,29.16,0
2005-07-18,81.0,66.0,73.24,60.83,66.0,52.0,60.83,16.0,6.0,29.19,77,61,57,292.5,3,0,29.04,0
2005-07-19,77.0,64.0,69.47,56.3,63.0,52.0,56.3,12.0,6.0,29.42,70,55,60,180.0,5,0,29.33,2
2005-07-20,79.0,61.0,69.09,53.02,55.0,48.0,53.02,15.0,6.0,29.45,70,52,53,22.5,2,0,29.45,0
