date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,55.0,52.0,53.53,50.59,54.0,48.0,50.59,14.0,6.0,29.6,54,50,88,315.0,12,0,29.48,6.0
2005-05-05,57.0,45.0,50.74,37.82,52.0,0.0,37.82,17.0,6.0,29.72,48,41,76,180.0,7,0,29.72,5.0
2005-05-06,55.0,45.0,50.84,44.38,48.0,37.0,44.38,17.0,6.0,29.6,52,46,82,270.0,10,0,29.54,2.0
2005-05-07,54.0,43.0,48.42,42.42,48.0,34.0,42.42,24.0,6.0,29.54,50,48,94,315.0,14,0,29.25,2.0
2005-05-08,52.0,37.0,44.96,38.67,43.0,34.0,38.67,18.0,6.0,29.48,48,39,71,292.5,15,0,29.45,5.0
2005-05-09,55.0,41.0,46.65,38.75,45.0,34.0,38.75,17.0,6.0,29.6,50,39,66,247.5,8,0,29.48,2.0
2005-05-10,54.0,37.0,45.33,38.63,43.0,34.0,38.63,16.0,6.0,29.74,48,36,62,225.0,10,0,29.63,2.0
2005-05-11,54.0,37.0,46.7,38.4,41.0,36.0,38.4,12.0,6.0,29.83,46,41,81,247.5,5,0,29.83,2.0
2005-05-12,59.0,37.0,48.68,37.45,39.0,36.0,37.45,16.0,6.0,29.83,50,39,66,112.5,13,0,29.8,0.0
2005-05-13,57.0,43.0,51.0,40.14,45.0,37.0,40.14,16.0,6.0,29.72,52,39,62,90.0,14,0,29.66,0.0
2005-05-14,63.0,48.0,54.92,45.0,48.0,41.0,45.0,15.0,6.0,29.57,54,46,77,135.0,7,0,29.45,6.0
2005-05-15,59.0,43.0,48.67,42.96,46.0,41.0,42.96,15.0,6.0,29.6,46,41,81,292.5,14,0,29.57,6.0
2005-05-16,64.0,41.0,53.39,40.08,48.0,0.0,40.08,13.0,6.0,29.57,54,46,77,315.0,5,0,29.54,0.0
2005-05-17,52.0,41.0,46.16,36.56,45.0,0.0,36.56,15.0,6.0,29.69,45,37,76,157.5,5,0,29.63,2.0
2005-05-18,57.0,37.0,48.4,25.58,37.0,0.0,25.58,8.0,6.0,29.83,46,36,66,135.0,5,0,29.77,5.0
2005-05-19,66.0,41.0,56.7,38.89,46.0,34.0,38.89,14.0,6.0,29.83,57,39,51,360.0,12,0,29.8,0.0
2005-05-20,72.0,54.0,62.94,50.78,54.0,43.0,50.78,18.0,6.0,29.69,61,50,68,360.0,10,0,29.63,0.0
2005-05-21,68.0,55.0,59.03,52.42,55.0,45.0,52.42,17.0,6.0,29.54,63,55,77,315.0,8,0,29.51,5.0
2005-05-22,68.0,52.0,59.71,47.55,52.0,43.0,47.55,17.0,6.0,29.48,63,50,63,337.5,13,0,29.45,5.0
2005-05-23,63.0,48.0,56.0,44.2,48.0,37.0,44.2,15.0,6.0,29.74,57,48,72,292.5,13,0,29.6,5.0
2005-05-24,66.0,46.0,57.23,44.82,48.0,41.0,44.82,17.0,6.0,29.8,59,48,67,337.5,8,0,29.77,2.0
2005-05-25,75.0,55.0,68.11,53.56,57.0,48.0,53.56,12.0,6.0,29.86,64,54,68,292.5,9,0,29.86,2.0
2005-05-26,86.0,55.0,72.36,53.21,57.0,48.0,53.21,17.0,6.0,29.77,75,55,50,360.0,10,0,29.69,0.0
