date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,81.0,61.0,68.85,56.96,61.0,50.0,56.96,16.0,6.0,30.03,68,55,64,22.5,3,0,30.0,0
2005-05-05,73.0,63.0,68.36,61.43,63.0,59.0,61.43,10.0,6.0,30.06,66,61,83,427.5,6,0,29.97,2
2005-05-06,72.0,64.0,68.5,58.44,63.0,54.0,58.44,9.0,6.0,30.12,68,59,73,427.5,8,0,30.12,2
2005-05-07,75.0,57.0,66.56,46.88,57.0,36.0,46.88,13.0,6.0,30.09,68,50,52,225.0,6,0,30.06,0
2005-05-08,91.0,57.0,74.13,48.15,57.0,37.0,48.15,13.0,6.0,29.97,77,46,34,247.5,5,0,29.91,0
2005-05-09,88.0,70.0,79.54,47.48,57.0,39.0,47.48,15.0,6.0,29.86,82,50,32,225.0,8,0,29.83,0
2005-05-10,90.0,61.0,76.29,46.33,57.0,39.0,46.33,18.0,6.0,29.89,73,52,47,270.0,16,0,29.89,0
2005-05-11,79.0,66.0,71.6,50.65,59.0,43.0,50.65,15.0,6.0,29.86,73,48,41,270.0,12,0,29.86,0
2005-05-12,75.0,57.0,68.72,55.24,59.0,50.0,55.24,20.0,6.0,29.91,72,55,57,315.0,15,30,29.86,5
2005-05-13,77.0,57.0,67.79,51.46,57.0,45.0,51.46,22.0,6.0,30.06,72,54,53,247.5,7,0,29.91,2
2005-05-14,79.0,59.0,68.0,48.89,54.0,43.0,48.89,14.0,6.0,30.12,68,50,52,247.5,12,0,30.12,0
2005-05-15,82.0,55.0,67.56,52.54,59.0,41.0,52.54,13.0,6.0,30.06,68,55,64,405.0,5,0,30.06,0
2005-05-16,79.0,66.0,71.94,44.32,54.0,39.0,44.32,20.0,6.0,29.94,70,43,38,247.5,12,0,29.91,0
2005-05-17,79.0,57.0,68.64,43.47,46.0,39.0,43.47,20.0,6.0,30.03,64,45,49,225.0,16,0,29.97,0
2005-05-18,77.0,59.0,69.08,48.23,59.0,41.0,48.23,14.0,6.0,30.15,75,46,36,180.0,6,0,30.12,0
2005-05-19,81.0,55.0,68.77,43.06,52.0,39.0,43.06,14.0,6.0,30.15,70,41,35,247.5,7,0,30.15,0
2005-05-20,84.0,59.0,72.52,39.17,46.0,34.0,39.17,13.0,6.0,30.12,75,39,27,225.0,6,0,30.09,0
2005-05-21,84.0,61.0,68.21,44.82,55.0,36.0,44.82,15.0,6.0,30.06,73,36,25,382.5,6,0,29.97,0
