date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,77.0,57.0,66.98,50.73,59.0,45.0,50.73,20.0,6.0,30.03,66,50,56,225.0,12,0,29.97,0.0
2005-05-05,70.0,57.0,63.32,46.32,48.0,45.0,46.32,35.0,6.0,29.89,63,48,59,202.5,29,0,29.86,0.0
2005-05-06,70.0,54.0,62.31,42.96,48.0,37.0,42.96,46.0,6.0,29.94,61,39,45,180.0,31,45,29.94,0.0
2005-05-07,73.0,57.0,65.52,46.21,50.0,43.0,46.21,33.0,6.0,29.94,63,46,55,202.5,26,0,29.91,0.0
2005-05-08,72.0,57.0,65.17,40.47,48.0,0.0,40.47,32.0,6.0,29.83,64,43,45,202.5,30,41,29.83,0.0
2005-05-09,73.0,50.0,61.94,39.08,52.0,0.0,39.08,18.0,6.0,29.86,61,41,48,247.5,12,0,29.80,0.0
2005-05-10,70.0,57.0,63.54,49.6,57.0,46.0,49.6,12.0,6.0,29.89,64,48,56,292.5,5,0,29.83,0.0
2005-05-11,73.0,55.0,63.32,52.17,59.0,50.0,52.17,17.0,6.0,29.94,63,54,72,225.0,6,0,29.89,0.0
2005-05-12,75.0,59.0,65.67,52.04,55.0,46.0,52.04,14.0,6.0,29.91,68,48,49,225.0,5,0,29.83,0.0
2005-05-13,77.0,57.0,68.23,50.65,55.0,46.0,50.65,22.0,6.0,29.94,72,48,43,405.0,14,0,29.91,0.0
2005-05-14,73.0,59.0,65.96,54.6,59.0,50.0,54.6,20.0,6.0,29.97,59,55,88,225.0,3,0,29.89,2.0
2005-05-15,73.0,55.0,64.79,51.83,57.0,45.0,51.83,15.0,6.0,30.0,64,54,68,270.0,6,0,29.97,0.0
2005-05-16,70.0,54.0,62.42,54.0,57.0,48.0,54.0,26.0,6.0,29.91,57,52,82,157.5,6,0,29.89,0.0
2005-05-17,66.0,54.0,58.89,54.11,57.0,50.0,54.11,22.0,6.0,29.83,64,55,73,90.0,8,0,29.74,2.0
2005-05-18,66.0,54.0,60.11,45.15,54.0,41.0,45.15,45.0,6.0,30.0,59,45,59,202.5,40,0,29.86,0.0
2005-05-19,77.0,50.0,63.28,46.72,57.0,41.0,46.72,23.0,6.0,30.12,61,46,59,180.0,9,0,30.09,0.0
2005-05-20,75.0,55.0,65.17,52.13,57.0,46.0,52.13,17.0,6.0,30.12,66,54,64,247.5,3,0,30.12,0.0
2005-05-21,75.0,55.0,66.68,44.17,52.0,34.0,44.17,17.0,6.0,30.09,70,45,40,405.0,14,0,30.03,0.0
2005-05-22,77.0,59.0,68.81,46.49,59.0,39.0,46.49,23.0,6.0,29.97,70,43,38,405.0,22,0,29.86,0.0
2005-05-23,73.0,57.0,65.58,48.5,57.0,43.0,48.5,32.0,6.0,30.09,64,48,56,202.5,28,0,29.97,0.0
2005-05-24,79.0,54.0,66.0,46.9,54.0,43.0,46.9,21.0,6.0,30.15,64,48,56,202.5,6,0,30.15,0.0
2005-05-25,81.0,54.0,67.38,49.27,55.0,41.0,49.27,14.0,6.0,30.18,68,55,64,270.0,3,0,30.18,0.0
2005-05-26,82.0,57.0,69.85,52.0,59.0,46.0,52.0,14.0,6.0,30.15,72,55,57,247.5,3,0,30.12,0.0
2005-05-27,84.0,61.0,72.73,51.84,57.0,48.0,51.84,16.0,6.0,30.06,77,57,50,225.0,3,0,30.06,0.0
2005-05-28,82.0,61.0,72.06,55.31,59.0,48.0,55.31,17.0,6.0,30.06,73,59,61,225.0,2,0,30.06,0.0
2005-05-29,84.0,61.0,72.93,55.41,63.0,46.0,55.41,14.0,6.0,30.03,73,61,65,225.0,3,0,30.00,0.0
2005-05-30,81.0,63.0,71.6,57.94,63.0,50.0,57.94,29.0,6.0,30.06,72,57,60,180.0,3,0,30.06,0.0
2005-05-31,81.0,63.0,70.26,50.09,54.0,46.0,50.09,28.0,6.0,30.03,68,48,49,180.0,22,0,30.00,0.0
2005-06-01,82.0,61.0,71.73,49.65,54.0,45.0,49.65,16.0,6.0,29.97,70,50,49,180.0,8,0,29.97,0.0
2005-06-02,82.0,63.0,72.89,58.87,61.0,55.0,58.87,12.0,6.0,29.97,72,61,69,247.5,5,0,29.97,0.0
2005-06-03,84.0,64.0,73.73,59.38,61.0,57.0,59.38,18.0,6.0,29.97,75,61,61,247.5,6,0,29.94,0.0
2005-06-04,84.0,66.0,75.29,58.9,63.0,54.0,58.9,17.0,6.0,29.97,73,59,61,247.5,8,0,29.97,0.0
2005-06-05,81.0,66.0,73.27,47.63,54.0,45.0,47.63,32.0,6.0,30.0,70,48,46,202.5,30,0,29.97,0.0
2005-06-06,81.0,64.0,73.04,50.43,55.0,45.0,50.43,35.0,6.0,30.0,72,50,46,202.5,23,0,29.97,0.0
