date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,64.0,50.0,55.62,48.0,52.0,43.0,48.0,23.0,6.0,28.45,57,48,72,270.0,13,0,28.42,2
2005-05-05,59.0,48.0,51.47,46.79,50.0,45.0,46.79,20.0,6.0,28.39,52,46,82,270.0,10,0,28.39,2
2005-05-06,50.0,43.0,46.48,42.11,46.0,37.0,42.11,22.0,6.0,28.42,46,39,76,292.5,10,0,28.42,2
2005-05-07,54.0,45.0,47.69,42.73,48.0,39.0,42.73,26.0,6.0,28.42,48,43,82,292.5,14,0,28.34,2
2005-05-08,52.0,37.0,44.85,31.21,37.0,0.0,31.21,23.0,6.0,28.34,43,36,76,270.0,16,0,28.34,2
2005-05-09,50.0,41.0,44.72,37.43,41.0,36.0,37.43,17.0,6.0,28.39,43,37,81,315.0,6,0,28.34,2
2005-05-10,55.0,34.0,45.13,31.81,39.0,0.0,31.81,14.0,6.0,28.48,48,39,71,112.5,5,0,28.39,2
2005-05-11,55.0,39.0,47.17,30.17,37.0,0.0,30.17,14.0,6.0,28.62,48,34,57,270.0,7,0,28.56,0
2005-05-12,59.0,32.0,47.79,23.47,37.0,0.0,23.47,15.0,6.0,28.62,50,36,58,90.0,14,0,28.56,0
2005-05-13,64.0,39.0,53.64,36.51,45.0,0.0,36.51,14.0,6.0,28.5,52,36,54,90.0,13,0,28.5,0
2005-05-14,70.0,43.0,56.64,46.7,54.0,41.0,46.7,35.0,6.0,28.39,57,48,72,22.5,1,0,28.31,0
2005-05-15,61.0,50.0,55.74,47.06,50.0,45.0,47.06,21.0,6.0,28.42,55,48,77,270.0,14,0,28.42,2
2005-05-16,61.0,41.0,51.53,44.55,48.0,39.0,44.55,18.0,6.0,28.42,50,43,76,135.0,5,0,28.39,0
2005-05-17,61.0,48.0,53.41,45.3,46.0,43.0,45.3,13.0,6.0,28.36,52,45,76,270.0,8,0,28.36,2
2005-05-18,54.0,45.0,49.61,45.59,48.0,41.0,45.59,16.0,6.0,28.64,48,46,93,180.0,9,0,28.36,2
2005-05-19,57.0,37.0,48.83,38.17,41.0,34.0,38.17,7.0,6.0,28.7,48,41,76,405.0,2,0,28.7,0
2005-05-20,68.0,37.0,54.11,43.47,50.0,36.0,43.47,8.0,6.0,28.67,54,46,77,90.0,5,0,28.64,0
2005-05-21,75.0,46.0,58.16,49.91,57.0,43.0,49.91,8.0,6.0,28.5,64,52,64,292.5,5,0,28.5,0
