date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,68.0,55.0,63.02,55.29,59.0,50.0,55.29,12.0,6.0,29.97,66,55,68,382.5,2,0,29.91,5
2005-05-05,68.0,55.0,61.51,48.79,57.0,41.0,48.79,20.0,6.0,29.82,66,43,43,180.0,6,0,29.76,2
2005-05-06,72.0,55.0,64.33,43.98,54.0,36.0,43.98,15.0,6.0,29.82,66,46,49,225.0,8,0,29.82,0
2005-05-07,73.0,57.0,66.29,42.4,55.0,34.0,42.4,14.0,6.0,29.82,68,37,33,202.5,7,0,29.82,0
2005-05-08,70.0,54.0,62.91,48.72,59.0,41.0,48.72,10.0,6.0,29.73,66,52,60,405.0,3,0,29.67,0
2005-05-09,68.0,55.0,62.43,49.54,54.0,41.0,49.54,20.0,6.0,29.82,64,54,68,90.0,2,0,29.73,2
2005-05-10,68.0,57.0,61.94,52.09,54.0,50.0,52.09,9.0,6.0,29.88,61,52,72,225.0,3,0,29.85,2
2005-05-11,68.0,59.0,63.51,52.55,55.0,48.0,52.55,13.0,6.0,29.94,64,54,68,405.0,7,0,29.91,2
2005-05-12,75.0,59.0,67.22,45.43,50.0,36.0,45.43,20.0,6.0,29.94,68,46,46,112.5,6,0,29.91,5
2005-05-13,72.0,61.0,67.2,44.24,50.0,37.0,44.24,13.0,6.0,30.03,68,48,49,337.5,6,0,29.97,0
2005-05-14,70.0,61.0,64.28,52.34,61.0,41.0,52.34,16.0,6.0,29.97,68,54,60,427.5,8,0,29.91,2
2005-05-15,70.0,57.0,63.29,54.1,55.0,50.0,54.1,21.0,6.0,29.97,66,52,60,90.0,5,0,29.94,0
2005-05-16,66.0,55.0,61.11,53.8,57.0,50.0,53.8,16.0,6.0,29.91,64,54,68,405.0,3,0,29.91,2
2005-05-17,72.0,55.0,61.12,52.86,59.0,48.0,52.86,25.0,6.0,29.82,64,50,59,135.0,1,0,29.82,2
2005-05-18,66.0,54.0,60.38,52.48,55.0,48.0,52.48,8.0,6.0,29.91,57,54,88,180.0,2,0,29.73,2
2005-05-19,72.0,59.0,65.4,52.49,57.0,48.0,52.49,9.0,6.0,30.08,66,54,64,360.0,6,0,30.06,0
2005-05-20,68.0,57.0,63.28,54.3,57.0,50.0,54.3,10.0,6.0,30.17,66,55,68,90.0,10,0,30.17,0
2005-05-21,68.0,57.0,63.36,55.38,59.0,50.0,55.38,8.0,6.0,30.11,66,57,73,382.5,3,0,30.08,5
2005-05-22,72.0,61.0,66.32,57.09,59.0,55.0,57.09,16.0,6.0,30.03,66,57,73,90.0,6,0,29.97,5
2005-05-23,73.0,59.0,66.68,55.4,59.0,50.0,55.4,29.0,6.0,30.03,70,52,53,382.5,7,0,29.91,0
2005-05-24,72.0,59.0,66.3,53.04,57.0,48.0,53.04,13.0,6.0,30.14,70,54,56,427.5,7,0,30.11,0
2005-05-25,77.0,63.0,70.51,51.34,59.0,45.0,51.34,12.0,6.0,30.2,75,50,41,22.5,2,0,30.2,0
2005-05-26,79.0,66.0,73.02,47.7,54.0,37.0,47.7,10.0,6.0,30.17,77,52,41,427.5,2,0,30.14,0
2005-05-27,81.0,66.0,73.28,51.11,61.0,45.0,51.11,12.0,6.0,30.08,77,52,41,427.5,3,0,30.08,0
2005-05-28,79.0,66.0,72.8,56.07,64.0,50.0,56.07,9.0,6.0,30.06,79,54,42,405.0,5,0,30.06,0
2005-05-29,79.0,66.0,73.81,57.0,66.0,48.0,57.0,10.0,6.0,30.03,77,54,44,405.0,2,0,30.03,0
2005-05-30,77.0,68.0,73.02,57.43,63.0,50.0,57.43,13.0,6.0,30.03,77,55,47,90.0,5,0,30.0,0
2005-05-31,75.0,63.0,70.51,61.43,64.0,55.0,61.43,16.0,6.0,29.97,73,61,65,405.0,3,0,29.94,0
2005-06-01,79.0,64.0,71.19,62.35,64.0,61.0,62.35,7.0,6.0,29.97,73,63,69,360.0,3,0,29.97,2
2005-06-02,79.0,66.0,72.83,56.85,63.0,48.0,56.85,14.0,6.0,29.97,77,59,54,382.5,6,0,29.97,0
2005-06-03,79.0,68.0,73.83,57.33,63.0,55.0,57.33,14.0,6.0,30.0,79,57,47,427.5,8,0,29.97,0
2005-06-04,77.0,66.0,72.07,58.76,64.0,52.0,58.76,9.0,6.0,29.97,75,55,50,427.5,3,0,29.97,0
2005-06-05,77.0,64.0,71.3,61.36,64.0,57.0,61.36,10.0,6.0,29.91,75,61,61,337.5,6,0,29.88,2
2005-06-06,75.0,66.0,71.06,59.92,64.0,55.0,59.92,15.0,6.0,29.97,72,61,69,427.5,6,0,29.91,0
