date,high_temp(F),low_temp(F),avg_temp(F),dewpoint(F),high_dew(F),low_dew(F),avg_dew(F),maxwindspeed(mph),visibility(mi),sea_level_pressure(Hg),temp_obs(F),dewpoint_obs(F),humidity(%),wind,wind_speed(mph),wind_gust(mph),pressure(in),condition
2005-05-04,55.0,48.0,51.6,49.14,52.0,45.0,49.14,16.0,6.0,30.08,52,50,94,202.5,8,0,29.9,2.0
2005-05-05,55.0,36.0,48.13,41.95,48.0,34.0,41.95,14.0,6.0,30.13,50,43,76,270.0,10,0,30.13,2.0
2005-05-06,55.0,46.0,50.79,44.38,48.0,41.0,44.38,17.0,6.0,29.99,52,43,71,247.5,14,0,29.96,5.0
2005-05-07,52.0,43.0,48.88,43.28,46.0,37.0,43.28,21.0,6.0,29.9,50,45,82,22.5,3,0,29.69,2.0
2005-05-08,52.0,39.0,46.0,39.49,43.0,37.0,39.49,17.0,6.0,29.87,48,41,76,270.0,14,0,29.84,5.0
2005-05-09,54.0,37.0,45.08,38.92,43.0,36.0,38.92,16.0,6.0,30.02,48,43,82,247.5,12,0,29.87,5.0
2005-05-10,54.0,37.0,46.07,39.44,43.0,34.0,39.44,16.0,6.0,30.19,48,43,82,247.5,12,0,30.05,5.0
2005-05-11,54.0,36.0,45.78,38.54,43.0,34.0,38.54,13.0,6.0,30.31,48,39,71,180.0,10,0,30.25,5.0
2005-05-12,57.0,36.0,48.36,39.28,43.0,34.0,39.28,16.0,6.0,30.31,48,41,76,112.5,14,0,30.28,0.0
2005-05-13,64.0,43.0,52.64,41.28,46.0,39.0,41.28,18.0,6.0,30.19,54,43,67,112.5,16,0,30.13,0.0
2005-05-14,61.0,45.0,52.81,44.38,48.0,41.0,44.38,17.0,6.0,30.05,55,46,72,135.0,14,0,29.96,0.0
2005-05-15,57.0,43.0,49.55,44.27,48.0,39.0,44.27,16.0,6.0,30.02,50,46,87,247.5,13,0,29.99,2.0
2005-05-16,59.0,34.0,48.27,42.89,48.0,34.0,42.89,15.0,6.0,30.02,55,45,67,292.5,8,0,29.93,0.0
2005-05-17,50.0,37.0,45.08,35.14,39.0,0.0,35.14,12.0,6.0,30.13,48,36,62,180.0,6,0,30.08,5.0
2005-05-18,57.0,34.0,46.21,35.14,43.0,0.0,35.14,8.0,6.0,30.22,48,37,66,247.5,5,0,30.19,0.0
2005-05-19,66.0,43.0,56.49,43.68,54.0,36.0,43.68,18.0,6.0,30.22,57,41,55,360.0,13,0,30.16,0.0
2005-05-20,66.0,55.0,60.44,54.27,57.0,46.0,54.27,20.0,6.0,30.05,59,57,94,360.0,12,0,29.99,2.0
2005-05-21,66.0,54.0,58.28,50.9,54.0,46.0,50.9,17.0,6.0,29.9,57,50,77,315.0,13,0,29.9,5.0
2005-05-22,64.0,50.0,56.89,49.26,52.0,46.0,49.26,22.0,6.0,29.87,59,48,67,360.0,13,0,29.81,0.0
2005-05-23,59.0,52.0,55.18,46.44,50.0,43.0,46.44,17.0,6.0,30.13,54,46,77,292.5,14,0,29.99,5.0
2005-05-24,63.0,48.0,56.41,46.8,54.0,41.0,46.8,23.0,6.0,30.16,55,48,77,360.0,12,0,30.13,2.0
2005-05-25,70.0,55.0,63.47,54.79,59.0,50.0,54.79,18.0,6.0,30.25,61,52,72,292.5,16,0,30.22,2.0
2005-05-26,81.0,59.0,68.52,54.61,59.0,45.0,54.61,17.0,6.0,30.16,72,57,60,360.0,13,0,30.05,0.0
2005-05-27,88.0,52.0,72.39,56.74,63.0,50.0,56.74,13.0,6.0,30.05,70,59,68,382.5,6,0,30.02,0.0
2005-05-28,75.0,57.0,66.76,53.55,61.0,46.0,53.55,25.0,6.0,30.08,72,57,60,270.0,16,0,29.93,0.0
2005-05-29,64.0,48.0,56.36,48.4,52.0,45.0,48.4,14.0,6.0,30.16,61,48,63,22.5,1,0,30.13,0.0
2005-05-30,54.0,45.0,50.95,47.49,50.0,43.0,47.49,12.0,6.0,30.28,54,48,82,22.5,2,0,30.11,2.0
2005-05-31,61.0,45.0,53.34,47.19,54.0,41.0,47.19,12.0,6.0,30.31,57,54,88,292.5,9,0,30.28,2.0
